dataset,weighting,dim,modality,method,metric,mean,ci_low,ci_high,n,n_boot,seed,evaluation_seed
amazon-books,bm25,128,i2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,2000,42,42
amazon-books,bm25,128,i2i,flat,hr,0.0354,0.0321,0.0392,10000,2000,42,42
amazon-books,bm25,128,i2i,flat,map,0.018932499999999998,0.016747437499999997,0.021216809523809523,10000,2000,42,42
amazon-books,bm25,128,i2i,flat,mrr,0.018932499999999998,0.016747437499999997,0.021216809523809523,10000,2000,42,42
amazon-books,bm25,128,i2i,flat,ndcg,0.022818422600975465,0.020497702475199227,0.025273563390227315,10000,2000,42,42
amazon-books,bm25,128,i2i,flat,precision,0.0035400000000000006,0.00321,0.00392,10000,2000,42,42
amazon-books,bm25,128,i2i,flat,recall,0.0354,0.0321,0.0392,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,ann_recall_vs_exact,0.65415,0.6504797499999999,0.6577004999999999,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,hr,0.0327,0.0294,0.0361,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,map,0.017529920634920638,0.015334063492063489,0.019758986111111113,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,mrr,0.017529920634920638,0.015334063492063489,0.019758986111111113,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,ndcg,0.021130988422143105,0.018826907982780333,0.02351162273681818,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,precision,0.0032700000000000003,0.0029400000000000008,0.00361,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,recall,0.0327,0.0294,0.0361,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,ann_recall_vs_exact,0.9890399999999999,0.9879400000000002,0.9900900000000001,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,hr,0.0355,0.0322,0.0392,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,map,0.01896888888888889,0.01679247222222222,0.02125478869047619,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,mrr,0.01896888888888889,0.01679247222222222,0.02125478869047619,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,ndcg,0.022868797891269232,0.0205311445332591,0.025320037525889447,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,precision,0.00355,0.00322,0.00392,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,recall,0.0355,0.0322,0.0392,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,ann_recall_vs_exact,0.9794299999999999,0.9780700000000001,0.9807802500000001,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,hr,0.0347,0.0314,0.0383,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,map,0.01878888888888889,0.01661736011904762,0.02103788392857142,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,mrr,0.01878888888888889,0.01661736011904762,0.02103788392857142,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,ndcg,0.02254633180268156,0.0202512085053406,0.024984752217201266,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,precision,0.0034700000000000004,0.0031400000000000004,0.0038299999999999996,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,recall,0.0347,0.0314,0.0383,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,ann_recall_vs_exact,0.76231,0.75933925,0.76535,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,hr,0.0345,0.0312,0.0381,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,map,0.018253730158730157,0.016110132936507936,0.02048065376984127,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,mrr,0.018253730158730157,0.016110132936507936,0.02048065376984127,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,ndcg,0.0220771727239022,0.019774589904263083,0.024516862865538794,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,precision,0.00345,0.0031200000000000004,0.00381,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,recall,0.0345,0.0312,0.0381,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,hr,0.0329,0.0295,0.0363,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,map,0.016581349206349204,0.014448797619047618,0.01877226488095238,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,mrr,0.016581349206349204,0.014448797619047618,0.01877226488095238,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,ndcg,0.020412507737679768,0.018072977011436238,0.02271722274503393,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,precision,0.0032900000000000004,0.00295,0.0036300000000000004,10000,2000,42,42
