dataset,weighting,dim,modality,method,embedding_backend,ndcg_at_10,recall_at_100,ann_recall_vs_flat_at_100,latency_p95_ms,qps,rss_mb,long_tail_uplift,delta_ndcg_vs_flat,effect_size_label,quality_retention,latency_score,memory_score,exposure_score,w_quality,w_latency,w_memory,w_exposure,deployment_score,deployment_rank,recommended_use_case,recommendation_reason,all_targets_reached,seed
amazon-books,bm25,128,i2i,flatpq,svd_bm25,0.0211309884221431,0.0778,0.747504,3.71254499987117,518.6587484601741,246.19921875,0.2247822531853824,-0.0016874341788323,negligible,1.0,0.36692015544526013,1.0,1.0,0.45,0.3,0.15,0.1,0.8101,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false),,42
amazon-books,bm25,128,i2i,hnsw,svd_bm25,0.0228687978912692,0.0809,0.975623,0.3292800000963324,4530.0113218844435,487.73046875,0.2145422531853824,5.037529029376653e-05,negligible,1.0,1.0,0.0,0.11495246326706986,0.45,0.3,0.15,0.1,0.7615,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
amazon-books,bm25,128,i2i,ivfflat,svd_bm25,0.0225463318026815,0.0793,0.968228,0.5612049997580469,2894.774937462136,417.54296875,0.2139522531853824,-0.0002720907982939,negligible,1.0,0.8606666083588727,0.29059386725320224,0.06395851339671725,0.45,0.3,0.15,0.1,0.7582,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
amazon-books,bm25,128,i2i,ivfpq,svd_bm25,0.0220771727239022,0.0807,0.834119,2.4704100008420937,747.4120858479632,268.59765625,0.2132122531853824,-0.0007412498770732,negligible,1.0,0.4733671175776495,0.90726484668133,0.0,0.45,0.3,0.15,0.1,0.7281,4,not_recommended,agreement recall 0.834 below floor 0.9,False,42
amazon-books,bm25,128,i2i,flat,svd_bm25,0.0228184226009754,0.081,1.0,15.11649499957457,79.03545135180168,414.390625,0.2141022531853824,0.0,exact_reference,1.0,0.0,0.3036453616250485,0.07692307692307711,0.45,0.3,0.15,0.1,0.5032,5,exact_reference,exact search; ground-truth quality reference,,42
amazon-books,bm25,128,u2i,flatpq,svd_bm25,0.0155653125796178,0.0898,0.5496800000000001,4.341404999831866,469.12016499993865,246.06640625,0.2027422531853824,-0.0048471951580618,negligible,1.0,0.326360625867281,1.0,1.0,0.45,0.3,0.15,0.1,0.7979,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false),,42
amazon-books,bm25,128,u2i,hnsw,svd_bm25,0.0201445523432921,0.0949,0.967867,0.3546250007275375,3960.3960397956844,487.76171875,0.1696422531853824,-0.0002679553943875,negligible,1.0,1.0,0.0,0.12154989384288752,0.45,0.3,0.15,0.1,0.7622,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
amazon-books,bm25,128,u2i,ivfpq,svd_bm25,0.01855769191258,0.0932,0.6942280000000001,2.0345449999695115,673.0380937705527,268.73828125,0.1650622531853824,-0.0018548158250996,negligible,1.0,0.5301892109643116,0.9061964637812329,0.0,0.45,0.3,0.15,0.1,0.745,3,not_recommended,agreement recall 0.694 below floor 0.9,False,42
amazon-books,bm25,128,u2i,ivfflat,svd_bm25,0.0202216288138686,0.0963,0.977123,1.5786049985763384,877.1545102394688,417.75,0.1679922531853824,-0.0001908789238111,negligible,1.0,0.5984248619061013,0.28966932798913925,0.07776008492569046,0.45,0.3,0.15,0.1,0.6808,4,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
amazon-books,bm25,128,u2i,flat,svd_bm25,0.0204125077376797,0.0982,1.0,14.610680000487264,78.77768543230026,414.2109375,0.1676422531853824,0.0,exact_reference,1.0,0.0,0.3043119888806284,0.06847133757961782,0.45,0.3,0.15,0.1,0.5025,5,exact_reference,exact search; ground-truth quality reference,,42
goodbooks,bm25,128,i2i,flatpq,svd_bm25,0.1029540395701028,0.2832,0.922524,0.133225000126913,12763.241868803958,60.32421875,0.0677622084794406,-0.0044247625698485,negligible,1.0,0.3802780565206557,1.0,1.0,0.45,0.3,0.15,0.1,0.8141,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false),,42
goodbooks,bm25,128,i2i,ivfflat,svd_bm25,0.1072346632166384,0.2839,0.973275,0.0438000006397487,33222.591358168786,64.75390625,0.0610722084794406,-0.000144138923313,negligible,1.0,1.0,0.3278008298755186,0.0,0.45,0.3,0.15,0.1,0.7992,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
goodbooks,bm25,128,i2i,hnsw,svd_bm25,0.1073657091645943,0.286,0.978734,0.0496100002237653,31250.000078898735,66.9140625,0.0612222084794406,-1.3092975357162362e-05,negligible,1.0,0.9306083166562504,0.0,0.02242152466367673,0.45,0.3,0.15,0.1,0.7314,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,True,42
goodbooks,bm25,128,i2i,ivfpq,svd_bm25,0.1041544518408293,0.2838,0.93393,0.2636549998896952,5268.703897626127,64.1171875,0.0660022084794406,-0.0032243502991221,negligible,1.0,0.0,0.4244220509780676,0.7369207772795221,0.45,0.3,0.15,0.1,0.5874,4,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets,False,42
