dataset,weighting,dim,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n,seed,evaluation_seed
amazon-books,bm25,128,i2i,flatpq,flat,hr,-0.002700000000000001,-0.03038987931410605,negligible,-0.0026744999999999963,negligible,10000,42,42
amazon-books,bm25,128,i2i,flatpq,flat,map,-0.0014025793650793601,-0.025980829839426445,negligible,-0.0026904999999999984,negligible,10000,42,42
amazon-books,bm25,128,i2i,flatpq,flat,mrr,-0.0014025793650793601,-0.025980829839426445,negligible,-0.0026904999999999984,negligible,10000,42,42
amazon-books,bm25,128,i2i,flatpq,flat,ndcg,-0.0016874341788323602,-0.03280594413914917,negligible,-0.0026904999999999984,negligible,10000,42,42
amazon-books,bm25,128,i2i,flatpq,flat,precision,-0.0002700000000000003,-0.03038987931410604,negligible,-0.0026744999999999963,negligible,10000,42,42
amazon-books,bm25,128,i2i,flatpq,flat,recall,-0.002700000000000001,-0.03038987931410605,negligible,-0.0026744999999999963,negligible,10000,42,42
amazon-books,bm25,128,i2i,hnsw,flat,hr,9.999999999999593e-05,0.01,negligible,0.00020599999999999785,negligible,10000,42,42
amazon-books,bm25,128,i2i,hnsw,flat,map,3.638888888889136e-05,0.01349710530915557,negligible,0.00018750000000000017,negligible,10000,42,42
amazon-books,bm25,128,i2i,hnsw,flat,mrr,3.638888888889136e-05,0.01349710530915557,negligible,0.00018750000000000017,negligible,10000,42,42
amazon-books,bm25,128,i2i,hnsw,flat,ndcg,5.037529029376653e-05,0.014313981632661288,negligible,0.00018750000000000017,negligible,10000,42,42
amazon-books,bm25,128,i2i,hnsw,flat,precision,9.999999999999593e-06,0.010000000000000002,negligible,0.00020599999999999785,negligible,10000,42,42
amazon-books,bm25,128,i2i,hnsw,flat,recall,9.999999999999593e-05,0.01,negligible,0.00020599999999999785,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfflat,flat,hr,-0.0006999999999999992,-0.026465454732649957,negligible,-0.0005790000000000031,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfflat,flat,map,-0.00014361111111110825,-0.018476826560079665,negligible,-0.0005869999999999972,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfflat,flat,mrr,-0.00014361111111110825,-0.018476826560079665,negligible,-0.0005869999999999972,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfflat,flat,ndcg,-0.0002720907982939058,-0.023120259206785607,negligible,-0.0005869999999999972,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfflat,flat,precision,-7.000000000000018e-05,-0.026465454732649957,negligible,-0.0005790000000000031,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfflat,flat,recall,-0.0006999999999999992,-0.026465454732649957,negligible,-0.0005790000000000031,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfpq,flat,hr,-0.000899999999999998,-0.0119210422106369,negligible,-0.0008599999999999997,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfpq,flat,map,-0.0006787698412698412,-0.0157007048631085,negligible,-0.0008874999999999994,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfpq,flat,mrr,-0.0006787698412698412,-0.0157007048631085,negligible,-0.0008874999999999994,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfpq,flat,ndcg,-0.0007412498770732641,-0.01818446964505447,negligible,-0.0008874999999999994,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfpq,flat,precision,-9.000000000000067e-05,-0.011921042210636897,negligible,-0.0008599999999999997,negligible,10000,42,42
amazon-books,bm25,128,i2i,ivfpq,flat,recall,-0.000899999999999998,-0.0119210422106369,negligible,-0.0008599999999999997,negligible,10000,42,42
amazon-books,bm25,128,u2i,flatpq,flat,hr,-0.005499999999999998,-0.040467881087278265,negligible,-0.005458000000000001,negligible,10000,42,42
amazon-books,bm25,128,u2i,flatpq,flat,map,-0.004566309523809519,-0.05806914376458765,negligible,-0.0055529999999999954,negligible,10000,42,42
amazon-books,bm25,128,u2i,flatpq,flat,mrr,-0.004566309523809519,-0.05806914376458765,negligible,-0.0055529999999999954,negligible,10000,42,42
amazon-books,bm25,128,u2i,flatpq,flat,ndcg,-0.0048471951580618695,-0.05980058915808113,negligible,-0.0055529999999999954,negligible,10000,42,42
amazon-books,bm25,128,u2i,flatpq,flat,precision,-0.0005499999999999997,-0.04046788108727827,negligible,-0.005458000000000001,negligible,10000,42,42
amazon-books,bm25,128,u2i,flatpq,flat,recall,-0.005499999999999998,-0.040467881087278265,negligible,-0.005458000000000001,negligible,10000,42,42
amazon-books,bm25,128,u2i,hnsw,flat,hr,-0.0008000000000000021,-0.028294176933755945,negligible,-0.0009694999999999981,negligible,10000,42,42
amazon-books,bm25,128,u2i,hnsw,flat,map,-0.00010674603174603073,-0.009573946917272976,negligible,-0.0009445000000000009,negligible,10000,42,42
