dataset,weighting,dim,modality,method,seed,metric,k,decile,group,value,fairness_scope,notes
amazon-books,bm25,128,i2i,flat,42,coverage,10,-1,__all__,0.16981537140403608,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,coverage,100,-1,__all__,0.6217831306966102,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,0,__all__,0.05779,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,1,__all__,0.13517,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,3,__all__,0.15318,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,4,__all__,0.08571,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,5,__all__,0.05578,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,6,__all__,0.06485,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,7,__all__,0.06411,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,8,__all__,0.06787,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,9,__all__,0.31554,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_group,10,-1,head,0.31414,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_group,10,-1,mid,0.49214,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_group,10,-1,tail,0.19372,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,gini_exposure,10,-1,__all__,0.8827567848970874,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,gini_exposure,100,-1,__all__,0.7047357601241365,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,long_tail_exposure,10,-1,__all__,0.28222,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,long_tail_exposure,100,-1,__all__,0.301852,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,long_tail_uplift,10,-1,__all__,0.21410225318538245,long_tail_exposure_proxy_only,
