dataset,weighting,dim,method,seed,metric,decile,value
amazon-books,bm25,128,flatpq,42,delta_ndcg_vs_flat,-1,-0.0032673146684471
amazon-books,bm25,128,flatpq,42,long_tail_exposure_flat,-1,0.31
amazon-books,bm25,128,flatpq,42,long_tail_exposure_pq,-1,0.3184
amazon-books,bm25,128,flatpq,42,long_tail_exposure_shift,-1,0.008400000000000019
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10,-1,0.6750999999999999
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_100,-1,0.74319
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,1,0.6933774834437085
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,2,0.6963302752293578
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,3,0.7153846153846153
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,4,0.6858333333333333
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,5,0.6864
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,6,0.6612244897959183
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,7,0.6666666666666666
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,8,0.6271844660194175
amazon-books,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,9,0.6316326530612245
amazon-books,bm25,128,flatpq,42,norm_distortion_mean,-1,0.047927696257829666
amazon-books,bm25,128,flatpq,42,pairwise_distance_distortion,-1,0.04893859475851059
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,1,0.25674545764923096
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,2,0.2578863501548767
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,3,0.261648029088974
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,4,0.26168158650398254
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,5,0.26486632227897644
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,6,0.2646230161190033
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,7,0.2704640030860901
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,8,0.267822265625
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_decile,9,0.2546708583831787
amazon-books,bm25,128,flatpq,42,reconstruction_error_rel_mean,-1,0.2621341347694397
amazon-books,bm25,128,flatpq,42,score_variance_flat,-1,0.005259677075114425
amazon-books,bm25,128,flatpq,42,score_variance_pq,-1,0.0039023488318100426
amazon-books,bm25,128,flatpq,42,score_variance_ratio,-1,0.741936962303935
amazon-books,bm25,128,ivfpq,42,delta_ndcg_vs_flat,-1,-0.0012980328510864489
amazon-books,bm25,128,ivfpq,42,long_tail_exposure_flat,-1,0.31
amazon-books,bm25,128,ivfpq,42,long_tail_exposure_pq,-1,0.3035
amazon-books,bm25,128,ivfpq,42,long_tail_exposure_shift,-1,-0.006500000000000006
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10,-1,0.58
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_100,-1,0.56214
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,1,0.6271523178807946
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,2,0.6330275229357798
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,3,0.6384615384615385
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,4,0.62
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,5,0.5744000000000002
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,6,0.5479591836734693
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,7,0.5580952380952381
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,8,0.47281553398058257
amazon-books,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,9,0.5204081632653061
amazon-books,bm25,128,ivfpq,42,norm_distortion_mean,-1,0.024706313386559486
amazon-books,bm25,128,ivfpq,42,pairwise_distance_distortion,-1,0.026630718261003494
amazon-books,bm25,128,ivfpq,42,reconstruction_error_rel_decile,1,0.18322862684726715
amazon-books,bm25,128,ivfpq,42,reconstruction_error_rel_decile,2,0.18475669622421265
amazon-books,bm25,128,ivfpq,42,reconstruction_error_rel_decile,3,0.1868213415145874
amazon-books,bm25,128,ivfpq,42,reconstruction_error_rel_decile,4,0.1935703456401825
amazon-books,bm25,128,ivfpq,42,reconstruction_error_rel_decile,5,0.19788098335266113
amazon-books,bm25,128,ivfpq,42,reconstruction_error_rel_decile,6,0.20442268252372742
