dataset,weighting,modality,method,metric,mean,ci_low,ci_high,n,n_boot
amazon-books,bm25,i2i,flat,recall,0.0354,0.0321,0.039,10000,1000
amazon-books,bm25,i2i,flat,precision,0.0035400000000000006,0.00321,0.0039,10000,1000
amazon-books,bm25,i2i,flat,hr,0.0354,0.0321,0.039,10000,1000
amazon-books,bm25,i2i,flat,ndcg,0.022818422600975465,0.020550339244007405,0.025235535924143473,10000,1000
amazon-books,bm25,i2i,flat,map,0.018932499999999998,0.016805529761904765,0.021199394841269842,10000,1000
amazon-books,bm25,i2i,flat,mrr,0.018932499999999998,0.016805529761904765,0.021199394841269842,10000,1000
amazon-books,bm25,i2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,1000
amazon-books,bm25,i2i,flatpq,recall,0.0327,0.0294,0.0361,10000,1000
amazon-books,bm25,i2i,flatpq,precision,0.0032700000000000003,0.0029400000000000003,0.00361,10000,1000
amazon-books,bm25,i2i,flatpq,hr,0.0327,0.0294,0.0361,10000,1000
amazon-books,bm25,i2i,flatpq,ndcg,0.021130988422143105,0.018856903048222982,0.02346399170983251,10000,1000
amazon-books,bm25,i2i,flatpq,map,0.017529920634920638,0.015362899801587303,0.019794455357142856,10000,1000
amazon-books,bm25,i2i,flatpq,mrr,0.017529920634920638,0.015362899801587303,0.019794455357142856,10000,1000
amazon-books,bm25,i2i,flatpq,ann_recall_vs_exact,0.65415,0.6506200000000001,0.6578104999999999,10000,1000
amazon-books,bm25,i2i,hnsw,recall,0.0355,0.0322,0.0391025,10000,1000
amazon-books,bm25,i2i,hnsw,precision,0.00355,0.00322,0.00391025,10000,1000
amazon-books,bm25,i2i,hnsw,hr,0.0355,0.0322,0.0391025,10000,1000
amazon-books,bm25,i2i,hnsw,ndcg,0.022868797891269232,0.02058631117929537,0.02529918418647396,10000,1000
amazon-books,bm25,i2i,hnsw,map,0.01896888888888889,0.016840902777777778,0.021224929563492066,10000,1000
amazon-books,bm25,i2i,hnsw,mrr,0.01896888888888889,0.016840902777777778,0.021224929563492066,10000,1000
amazon-books,bm25,i2i,hnsw,ann_recall_vs_exact,0.9890399999999999,0.9879395000000002,0.9900705000000001,10000,1000
amazon-books,bm25,i2i,ivfflat,recall,0.0347,0.0315,0.0382,10000,1000
amazon-books,bm25,i2i,ivfflat,precision,0.0034700000000000004,0.00315,0.0038200000000000005,10000,1000
amazon-books,bm25,i2i,ivfflat,hr,0.0347,0.0315,0.0382,10000,1000
amazon-books,bm25,i2i,ivfflat,ndcg,0.02254633180268156,0.02028595040400447,0.02498026760605204,10000,1000
amazon-books,bm25,i2i,ivfflat,map,0.01878888888888889,0.016644998015873016,0.021035084325396823,10000,1000
amazon-books,bm25,i2i,ivfflat,mrr,0.01878888888888889,0.016644998015873016,0.021035084325396823,10000,1000
amazon-books,bm25,i2i,ivfflat,ann_recall_vs_exact,0.9794299999999999,0.9780700000000001,0.98075075,10000,1000
amazon-books,bm25,i2i,ivfpq,recall,0.034,0.0306,0.0374,10000,1000
amazon-books,bm25,i2i,ivfpq,precision,0.0034,0.0030600000000000002,0.00374,10000,1000
amazon-books,bm25,i2i,ivfpq,hr,0.034,0.0306,0.0374,10000,1000
amazon-books,bm25,i2i,ivfpq,ndcg,0.021298366943935134,0.019101052579970287,0.023619843927754604,10000,1000
amazon-books,bm25,i2i,ivfpq,map,0.017370674603174603,0.015361502976190477,0.019567565476190478,10000,1000
amazon-books,bm25,i2i,ivfpq,mrr,0.017370674603174603,0.015361502976190477,0.019567565476190478,10000,1000
amazon-books,bm25,i2i,ivfpq,ann_recall_vs_exact,0.7632,0.7601695,0.7659107500000001,10000,1000
amazon-books,bm25,u2i,flat,recall,0.0329,0.0295,0.0364,10000,1000
amazon-books,bm25,u2i,flat,precision,0.0032900000000000004,0.00295,0.0036400000000000004,10000,1000
amazon-books,bm25,u2i,flat,hr,0.0329,0.0295,0.0364,10000,1000
amazon-books,bm25,u2i,flat,ndcg,0.020412507737679768,0.01807063044805681,0.022857146185997546,10000,1000
amazon-books,bm25,u2i,flat,map,0.016581349206349204,0.01446742261904762,0.018807820436507933,10000,1000
amazon-books,bm25,u2i,flat,mrr,0.016581349206349204,0.01446742261904762,0.018807820436507933,10000,1000
amazon-books,bm25,u2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,1000
amazon-books,bm25,u2i,flatpq,recall,0.0274,0.0244,0.0304025,10000,1000
amazon-books,bm25,u2i,flatpq,precision,0.0027400000000000007,0.0024400000000000003,0.00304025,10000,1000
amazon-books,bm25,u2i,flatpq,hr,0.0274,0.0244,0.0304025,10000,1000
amazon-books,bm25,u2i,flatpq,ndcg,0.015565312579617898,0.013641782983072196,0.017719236352172783,10000,1000
amazon-books,bm25,u2i,flatpq,map,0.012015039682539684,0.010262259920634922,0.014012174603174605,10000,1000
amazon-books,bm25,u2i,flatpq,mrr,0.012015039682539684,0.010262259920634922,0.014012174603174605,10000,1000
amazon-books,bm25,u2i,flatpq,ann_recall_vs_exact,0.39533,0.39138949999999995,0.39939050000000004,10000,1000
amazon-books,bm25,u2i,hnsw,recall,0.0321,0.0287975,0.035402499999999996,10000,1000
amazon-books,bm25,u2i,hnsw,precision,0.00321,0.00287975,0.0035402500000000004,10000,1000
amazon-books,bm25,u2i,hnsw,hr,0.0321,0.0287975,0.035402499999999996,10000,1000
amazon-books,bm25,u2i,hnsw,ndcg,0.02014455234329218,0.01782094135790625,0.022612844311872608,10000,1000
amazon-books,bm25,u2i,hnsw,map,0.016474603174603173,0.01437824107142857,0.018777014880952382,10000,1000
amazon-books,bm25,u2i,hnsw,mrr,0.016474603174603173,0.01437824107142857,0.018777014880952382,10000,1000
amazon-books,bm25,u2i,hnsw,ann_recall_vs_exact,0.9866,0.9854800000000001,0.98764,10000,1000
amazon-books,bm25,u2i,ivfflat,recall,0.0314,0.0279975,0.0347,10000,1000
amazon-books,bm25,u2i,ivfflat,precision,0.00314,0.00279975,0.0034700000000000004,10000,1000
amazon-books,bm25,u2i,ivfflat,hr,0.0314,0.0279975,0.0347,10000,1000
amazon-books,bm25,u2i,ivfflat,ndcg,0.01934911125455281,0.017057357763583348,0.021786709953955513,10000,1000
amazon-books,bm25,u2i,ivfflat,map,0.015646269841269843,0.01359914384920635,0.017879419642857147,10000,1000
amazon-books,bm25,u2i,ivfflat,mrr,0.015646269841269843,0.01359914384920635,0.017879419642857147,10000,1000
amazon-books,bm25,u2i,ivfflat,ann_recall_vs_exact,0.9214900000000001,0.91775,0.92515,10000,1000
amazon-books,bm25,u2i,ivfpq,recall,0.0312,0.0277,0.0345,10000,1000
amazon-books,bm25,u2i,ivfpq,precision,0.0031200000000000004,0.0027700000000000003,0.00345,10000,1000
amazon-books,bm25,u2i,ivfpq,hr,0.0312,0.0277,0.0345,10000,1000
amazon-books,bm25,u2i,ivfpq,ndcg,0.01848421114015935,0.016326754264084035,0.02079198011834879,10000,1000
amazon-books,bm25,u2i,ivfpq,map,0.014564246031746032,0.012585390873015872,0.016657738095238094,10000,1000
amazon-books,bm25,u2i,ivfpq,mrr,0.014564246031746032,0.012585390873015872,0.016657738095238094,10000,1000
amazon-books,bm25,u2i,ivfpq,ann_recall_vs_exact,0.57298,0.5692997499999999,0.5767805,10000,1000
goodbooks,bm25,i2i,flat,recall,0.1578,0.1509,0.16490249999999998,10000,1000
goodbooks,bm25,i2i,flat,precision,0.015780000000000002,0.015090000000000003,0.01649025,10000,1000
goodbooks,bm25,i2i,flat,hr,0.1578,0.1509,0.16490249999999998,10000,1000
goodbooks,bm25,i2i,flat,ndcg,0.10824955015893088,0.10267115973233468,0.1136952954481528,10000,1000
goodbooks,bm25,i2i,flat,map,0.09279055555555556,0.08751173313492064,0.09788980555555556,10000,1000
goodbooks,bm25,i2i,flat,mrr,0.09279055555555556,0.08751173313492064,0.09788980555555556,10000,1000
goodbooks,bm25,i2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,1000
goodbooks,bm25,i2i,flatpq,recall,0.1562,0.1492975,0.16340249999999998,10000,1000
goodbooks,bm25,i2i,flatpq,precision,0.015620000000000002,0.01492975,0.01634025,10000,1000
goodbooks,bm25,i2i,flatpq,hr,0.1562,0.1492975,0.16340249999999998,10000,1000
goodbooks,bm25,i2i,flatpq,ndcg,0.10332925063319197,0.09806753798270293,0.10857392432928234,10000,1000
goodbooks,bm25,i2i,flatpq,map,0.0868488492063492,0.08196953075396826,0.09154398511904761,10000,1000
