dataset,weighting,method,target_recall,target_reached,param_name,calibrated_param_value,achieved_recall_vs_exact,latency_mean_ms,latency_p50_ms,latency_p95_ms,topk,n_calibration_queries,seed
ml-1m,bm25,hnsw,0.9,True,ef,32,0.91429,0.0380134000115504,0.03689999994094251,0.04820499962079338,100,1000,42
ml-1m,bm25,hnsw,0.95,True,ef,64,0.98594,0.04943360000834218,0.04819999958272092,0.05851999981132392,100,1000,42
ml-1m,bm25,hnsw,0.98,True,ef,64,0.98594,0.05487180001910019,0.050799999826267594,0.06753000006938234,100,1000,42
ml-1m,bm25,ivfflat,0.9,True,nprobe,16,0.94222,0.02552739997918252,0.024899999516492244,0.031504999742537614,100,1000,42
ml-1m,bm25,ivfflat,0.95,True,nprobe,32,0.98543,0.036173800010146806,0.03539999943313887,0.0411000000895001,100,1000,42
ml-1m,bm25,ivfflat,0.98,True,nprobe,32,0.98543,0.03677639998568338,0.036100000215810724,0.043104999849674634,100,1000,42
ml-1m,bm25,ivfpq,0.9,False,nprobe,64,0.88145,0.11024399999223533,0.10629999997036066,0.12551500058179954,100,1000,42
ml-1m,bm25,ivfpq,0.95,False,nprobe,64,0.88145,0.11588540000047942,0.10944999985440518,0.14440999993894366,100,1000,42
ml-1m,bm25,ivfpq,0.98,False,nprobe,64,0.88145,0.1135069999982079,0.10719999954744708,0.15806000010343244,100,1000,42
ml-20m,bm25,hnsw,0.9,True,ef,64,0.95772,0.07553460000781342,0.07389999973383965,0.10150499983865302,100,1000,42
ml-20m,bm25,hnsw,0.95,True,ef,64,0.95772,0.08054480002283526,0.07170000026235357,0.10919500032287024,100,1000,42
ml-20m,bm25,hnsw,0.98,True,ef,256,0.98283,0.19271560001652688,0.18970000019180588,0.2518100000997947,100,1000,42
ml-20m,bm25,ivfflat,0.9,True,nprobe,8,0.90553,0.038677799982906436,0.038249999761319486,0.04999999964638846,100,1000,42
ml-20m,bm25,ivfflat,0.95,True,nprobe,16,0.96572,0.05998120000003837,0.05914999974265811,0.07521999964410496,100,1000,42
ml-20m,bm25,ivfflat,0.98,True,nprobe,32,0.99039,0.09623080000164919,0.09665000015957048,0.11280499948043143,100,1000,42
ml-20m,bm25,ivfpq,0.9,False,nprobe,256,0.88429,0.33965999999054475,0.3378500000508211,0.3555150003194285,100,1000,42
ml-20m,bm25,ivfpq,0.95,False,nprobe,256,0.88429,0.3508711999820662,0.34589999995660037,0.3829999998743004,100,1000,42
ml-20m,bm25,ivfpq,0.98,False,nprobe,256,0.88429,0.3420145999916713,0.3407000003790017,0.35480500041558116,100,1000,42
goodbooks,bm25,hnsw,0.9,True,ef,64,0.97126,0.0445672000223567,0.04360000002634479,0.05432500051938403,100,1000,42
goodbooks,bm25,hnsw,0.95,True,ef,64,0.97126,0.04840579994925065,0.04620000026989146,0.06020999999236664,100,1000,42
goodbooks,bm25,hnsw,0.98,True,ef,128,0.99952,0.06958080000549671,0.06734999988111667,0.08611499983999236,100,1000,42
goodbooks,bm25,ivfflat,0.9,True,nprobe,8,0.95113,0.023202000016681268,0.022199999875738285,0.0289999998130952,100,1000,42
goodbooks,bm25,ivfflat,0.95,True,nprobe,8,0.95113,0.02254660000835429,0.022050000097806333,0.028499999689302058,100,1000,42
goodbooks,bm25,ivfflat,0.98,True,nprobe,32,0.99167,0.05748039999889443,0.05690000034519471,0.06520499991893303,100,1000,42
goodbooks,bm25,ivfpq,0.9,True,nprobe,8,0.91501,0.043653399996401276,0.043399999412940815,0.04810499972336401,100,1000,42
goodbooks,bm25,ivfpq,0.95,False,nprobe,128,0.93968,0.2064623999867763,0.20399999993969686,0.22175000012794038,100,1000,42
goodbooks,bm25,ivfpq,0.98,False,nprobe,128,0.93968,0.20577559997036587,0.2040999997916515,0.21700999977838364,100,1000,42
