dataset,weighting,latency_budget_p95_ms,recall_floor,recommended_method,param_name,param_value,calibration_target,achieved_recall_vs_exact,latency_p95_ms,rationale,u2i_ndcg_at_k_mean,u2i_long_tail_exposure,i2i_ndcg_at_k_mean,i2i_long_tail_exposure
goodbooks,bm25,1.0,0.9,ivfflat,nprobe,8,0.95,0.95382,0.0334350000059657,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
goodbooks,bm25,1.0,0.95,ivfflat,nprobe,8,0.95,0.95382,0.0334350000059657,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
goodbooks,bm25,1.0,0.98,ivfflat,nprobe,16,0.98,0.98025,0.0445049999484581,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
goodbooks,bm25,5.0,0.9,ivfflat,nprobe,8,0.95,0.95382,0.0334350000059657,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
goodbooks,bm25,5.0,0.95,ivfflat,nprobe,8,0.95,0.95382,0.0334350000059657,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
goodbooks,bm25,5.0,0.98,ivfflat,nprobe,16,0.98,0.98025,0.0445049999484581,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
goodbooks,bm25,20.0,0.9,ivfflat,nprobe,8,0.95,0.95382,0.0334350000059657,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
goodbooks,bm25,20.0,0.95,ivfflat,nprobe,8,0.95,0.95382,0.0334350000059657,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
goodbooks,bm25,20.0,0.98,ivfflat,nprobe,16,0.98,0.98025,0.0445049999484581,meets latency budget and recall floor,0.0147514591008452,0.06131,0.107888318688361,0.09564
ml-1m,bm25,1.0,0.9,ivfflat,nprobe,16,0.9,0.94054,0.0288049999937811,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-1m,bm25,1.0,0.95,ivfflat,nprobe,32,0.95,0.98681,0.0457099999835008,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-1m,bm25,1.0,0.98,ivfflat,nprobe,32,0.95,0.98681,0.0457099999835008,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-1m,bm25,5.0,0.9,ivfflat,nprobe,16,0.9,0.94054,0.0288049999937811,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-1m,bm25,5.0,0.95,ivfflat,nprobe,32,0.95,0.98681,0.0457099999835008,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-1m,bm25,5.0,0.98,ivfflat,nprobe,32,0.95,0.98681,0.0457099999835008,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-1m,bm25,20.0,0.9,ivfflat,nprobe,16,0.9,0.94054,0.0288049999937811,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-1m,bm25,20.0,0.95,ivfflat,nprobe,32,0.95,0.98681,0.0457099999835008,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-1m,bm25,20.0,0.98,ivfflat,nprobe,32,0.95,0.98681,0.0457099999835008,meets latency budget and recall floor,0.0488996943089544,0.0007454033460327,0.0581871258340183,0.0167135994699354
ml-20m,bm25,1.0,0.9,ivfflat,nprobe,16,0.95,0.96373,0.0655100000017227,meets latency budget and recall floor,0.0446154286249144,3e-05,0.051528495453331,0.00309
ml-20m,bm25,1.0,0.95,ivfflat,nprobe,16,0.95,0.96373,0.0655100000017227,meets latency budget and recall floor,0.0446154286249144,3e-05,0.051528495453331,0.00309
ml-20m,bm25,1.0,0.98,hnsw,ef,128,0.98,0.98187,0.1266300000452247,meets latency budget and recall floor,0.0446259265130896,2e-05,0.0516883875488067,0.00302
ml-20m,bm25,5.0,0.9,ivfflat,nprobe,16,0.95,0.96373,0.0655100000017227,meets latency budget and recall floor,0.0446154286249144,3e-05,0.051528495453331,0.00309
ml-20m,bm25,5.0,0.95,ivfflat,nprobe,16,0.95,0.96373,0.0655100000017227,meets latency budget and recall floor,0.0446154286249144,3e-05,0.051528495453331,0.00309
ml-20m,bm25,5.0,0.98,hnsw,ef,128,0.98,0.98187,0.1266300000452247,meets latency budget and recall floor,0.0446259265130896,2e-05,0.0516883875488067,0.00302
ml-20m,bm25,20.0,0.9,ivfflat,nprobe,16,0.95,0.96373,0.0655100000017227,meets latency budget and recall floor,0.0446154286249144,3e-05,0.051528495453331,0.00309
ml-20m,bm25,20.0,0.95,ivfflat,nprobe,16,0.95,0.96373,0.0655100000017227,meets latency budget and recall floor,0.0446154286249144,3e-05,0.051528495453331,0.00309
ml-20m,bm25,20.0,0.98,hnsw,ef,128,0.98,0.98187,0.1266300000452247,meets latency budget and recall floor,0.0446259265130896,2e-05,0.0516883875488067,0.00302
