dataset,weighting,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n
goodbooks,bm25,i2i,flatpq,flat,recall,-0.0020999999999999908,-0.01878534586630161,negligible,-0.0024530000000000107,negligible,10000
goodbooks,bm25,i2i,flatpq,flat,precision,-0.00021000000000000012,-0.01878534586630161,negligible,-0.0024530000000000107,negligible,10000
goodbooks,bm25,i2i,flatpq,flat,hr,-0.0020999999999999908,-0.01878534586630161,negligible,-0.0024530000000000107,negligible,10000
goodbooks,bm25,i2i,flatpq,flat,ndcg,-0.0037379233632629655,-0.05174973852091461,negligible,-0.003103500000000009,negligible,10000
goodbooks,bm25,i2i,flatpq,flat,map,-0.004237539682539676,-0.0512479564532924,negligible,-0.003103500000000009,negligible,10000
goodbooks,bm25,i2i,flatpq,flat,mrr,-0.004237539682539676,-0.0512479564532924,negligible,-0.003103500000000009,negligible,10000
goodbooks,bm25,i2i,hnsw,flat,recall,0.0,0.0,negligible,-0.00030349999999998434,negligible,10000
goodbooks,bm25,i2i,hnsw,flat,precision,0.0,0.0,negligible,-0.00030349999999998434,negligible,10000
goodbooks,bm25,i2i,hnsw,flat,hr,0.0,0.0,negligible,-0.00030349999999998434,negligible,10000
goodbooks,bm25,i2i,hnsw,flat,ndcg,0.0,0.0,negligible,-0.00022500000000000298,negligible,10000
goodbooks,bm25,i2i,hnsw,flat,map,0.0,0.0,negligible,-0.00022500000000000298,negligible,10000
goodbooks,bm25,i2i,hnsw,flat,mrr,0.0,0.0,negligible,-0.00022500000000000298,negligible,10000
goodbooks,bm25,i2i,ivfflat,flat,recall,-0.0010000000000000009,-0.0288781050993385,negligible,-0.0013185000000000002,negligible,10000
goodbooks,bm25,i2i,ivfflat,flat,precision,-0.00010000000000000286,-0.028878105099338504,negligible,-0.0013185000000000002,negligible,10000
goodbooks,bm25,i2i,ivfflat,flat,hr,-0.0010000000000000009,-0.0288781050993385,negligible,-0.0013185000000000002,negligible,10000
goodbooks,bm25,i2i,ivfflat,flat,ndcg,-0.00041974108559789114,-0.02599510560864541,negligible,-0.0011460000000000081,negligible,10000
goodbooks,bm25,i2i,ivfflat,flat,map,-0.00025210317460318266,-0.02023999246282406,negligible,-0.0011460000000000081,negligible,10000
goodbooks,bm25,i2i,ivfflat,flat,mrr,-0.00025210317460318266,-0.02023999246282406,negligible,-0.0011460000000000081,negligible,10000
goodbooks,bm25,i2i,ivfpq,flat,recall,-0.0020999999999999908,-0.02201821667436861,negligible,-0.0024444999999999883,negligible,10000
goodbooks,bm25,i2i,ivfpq,flat,precision,-0.0002100000000000036,-0.02201821667436861,negligible,-0.0024444999999999883,negligible,10000
goodbooks,bm25,i2i,ivfpq,flat,hr,-0.0020999999999999908,-0.02201821667436861,negligible,-0.0024444999999999883,negligible,10000
goodbooks,bm25,i2i,ivfpq,flat,ndcg,-0.0033646238044400534,-0.051269386138829025,negligible,-0.0030044999999999933,negligible,10000
goodbooks,bm25,i2i,ivfpq,flat,map,-0.0037178968253968325,-0.04812303977717152,negligible,-0.0030044999999999933,negligible,10000
goodbooks,bm25,i2i,ivfpq,flat,mrr,-0.0037178968253968325,-0.04812303977717152,negligible,-0.0030044999999999933,negligible,10000
goodbooks,bm25,u2i,flatpq,flat,recall,-0.0028000000000000004,-0.019606708881545806,negligible,-0.0028725,negligible,10000
goodbooks,bm25,u2i,flatpq,flat,precision,-0.00027999999999999987,-0.01960670888154581,negligible,-0.0028725,negligible,10000
goodbooks,bm25,u2i,flatpq,flat,hr,-0.0028000000000000004,-0.019606708881545806,negligible,-0.0028725,negligible,10000
goodbooks,bm25,u2i,flatpq,flat,ndcg,-0.0012085276789820971,-0.017364654643566024,negligible,-0.002827000000000003,negligible,10000
goodbooks,bm25,u2i,flatpq,flat,map,-0.0007565079365079354,-0.01209417307547716,negligible,-0.002827000000000003,negligible,10000
goodbooks,bm25,u2i,flatpq,flat,mrr,-0.0007565079365079354,-0.01209417307547716,negligible,-0.002827000000000003,negligible,10000
goodbooks,bm25,u2i,hnsw,flat,recall,-0.0001999999999999988,-0.014142842854277927,negligible,-0.00028500000000000053,negligible,10000
goodbooks,bm25,u2i,hnsw,flat,precision,-2.0000000000000052e-05,-0.014142842854277924,negligible,-0.00028500000000000053,negligible,10000
goodbooks,bm25,u2i,hnsw,flat,hr,-0.0001999999999999988,-0.014142842854277927,negligible,-0.00028500000000000053,negligible,10000
goodbooks,bm25,u2i,hnsw,flat,ndcg,-8.333333333333456e-05,-0.013868145052651592,negligible,-0.00026349999999999985,negligible,10000
goodbooks,bm25,u2i,hnsw,flat,map,-4.7619047619044605e-05,-0.013131118779189046,negligible,-0.00026349999999999985,negligible,10000
goodbooks,bm25,u2i,hnsw,flat,mrr,-4.7619047619044605e-05,-0.013131118779189046,negligible,-0.00026349999999999985,negligible,10000
goodbooks,bm25,u2i,ivfflat,flat,recall,-0.0011999999999999997,-0.013416944607192303,negligible,-0.001348499999999999,negligible,10000
goodbooks,bm25,u2i,ivfflat,flat,precision,-0.00011999999999999988,-0.013416944607192305,negligible,-0.001348499999999999,negligible,10000
goodbooks,bm25,u2i,ivfflat,flat,hr,-0.0011999999999999997,-0.013416944607192303,negligible,-0.001348499999999999,negligible,10000
