dataset,weighting,modality,method,metric,k,decile,group,value,fairness_scope,notes
goodbooks,bm25,i2i,flat,long_tail_exposure,10,,,0.09524,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,long_tail_exposure,100,,,0.169869,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,long_tail_uplift,10,,,0.06013061774570977,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,gini_exposure,10,,,0.571593622,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,gini_exposure,100,,,0.419174454,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,coverage,10,,,0.9161,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,coverage,100,,,0.9999,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,0.0,,0.03798,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,1.0,,0.05406,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,2.0,,0.06483,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,3.0,,0.06908,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,4.0,,0.07225,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,5.0,,0.08127,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,6.0,,0.09104,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,7.0,,0.11363,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,8.0,,0.1531,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_decile,10,9.0,,0.26276,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_group,10,,head,0.26276,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_group,10,,mid,0.6435,long_tail_exposure_proxy_only,
goodbooks,bm25,i2i,flat,exposure_share_group,10,,tail,0.09374,long_tail_exposure_proxy_only,
