dataset,weighting,dim,modality,method,budget_mb,queries,recall_at_k_mean,ndcg_at_k_mean,hr_at_k_mean,precision_at_k_mean,map_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,recall_at_100_mean,ann_recall_vs_exact_at_100_mean,coverage_at_k,gini_exposure,long_tail_exposure,long_tail_uplift,calibration_target,calibrated_param_name,calibrated_param_value,latency_p50_ms,latency_p95_ms,rss_mb_after,omp_threads,seed,run_id,config_hash,code_commit,created_at_utc
goodbooks,bm25,128,i2i,flat,100,10000,0.1553,0.10737880213995148,0.1553,0.01553,0.0923384523809524,0.0923384523809524,1.0,0.2867,1.0,0.9124,0.570770958,0.09636,0.06125220847944068,,,,0.14430000010179356,0.19419999994170212,58.82421875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,i2i,flatpq,100,10000,0.1534,0.10295403957010289,0.1534,0.015340000000000001,0.0871373015873016,0.0871373015873016,0.8706400000000002,0.2832,0.922524,0.9093,0.570735044,0.10287,0.06776220847944067,,,,0.08449999950244091,0.09920500042426283,54.4765625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,i2i,hnsw,100,10000,0.1553,0.10736570916459431,0.1553,0.01553,0.09232178571428572,0.09232178571428572,0.9998799999999999,0.286,0.978734,0.9124,0.570772596,0.09633,0.061222208479440675,0.95,ef,64.0,0.03220000053261174,0.06120999946688243,60.91796875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,i2i,ivfflat,100,10000,0.155,0.10723647577473583,0.155,0.015500000000000003,0.09224571428571429,0.09224571428571429,0.9882700000000001,0.2816,0.938866,0.9116,0.5706034440000001,0.09711,0.06200220847944068,0.95,nprobe,8.0,0.021099999685247894,0.025605000291761822,59.03515625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,i2i,ivfpq,100,10000,0.1533,0.10415445184082935,0.1533,0.015330000000000002,0.08877603174603176,0.08877603174603176,0.9041600000000002,0.2838,0.9339299999999999,0.9134,0.568900608,0.10111,0.06600220847944069,0.95,nprobe,128.0,0.1922999999806052,0.32540499942115275,58.1015625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,flat,100,10000,0.0295,0.014164336824847162,0.0295,0.00295,0.00958281746031746,0.00958281746031746,1.0,0.1816,1.0,0.6758,0.830726524,0.05765,0.022542208479440676,,,,0.14430000010179356,0.19419999994170212,58.82421875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,flatpq,100,10000,0.0255,0.01259830058562827,0.0255,0.00255,0.00873269841269841,0.00873269841269841,0.60575,0.164,0.7476299999999999,0.6009,0.8700238020000001,0.08154,0.04643220847944068,,,,0.08449999950244091,0.09920500042426283,54.4765625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,hnsw,100,10000,0.0294,0.014098603844443235,0.0294,0.0029400000000000003,0.00953031746031746,0.00953031746031746,0.9975799999999999,0.1767,0.9428040000000001,0.6752,0.8311247460000001,0.05748,0.02237220847944068,0.95,ef,64.0,0.03220000053261174,0.06120999946688243,60.91796875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,ivfflat,100,10000,0.0296,0.014114888376507985,0.0296,0.00296,0.009498373015873016,0.009498373015873016,0.8487600000000001,0.1598,0.7590140000000001,0.6888,0.8229038339999999,0.06172,0.026612208479440673,0.95,nprobe,8.0,0.021099999685247894,0.025605000291761822,59.03515625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,ivfpq,100,10000,0.0264,0.012748490851081836,0.0264,0.0026400000000000004,0.008675079365079365,0.008675079365079365,0.6784899999999999,0.1635,0.788949,0.6327,0.849267088,0.08874,0.053632208479440675,0.95,nprobe,128.0,0.1922999999806052,0.32540499942115275,58.1015625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,i2i,flat,100,6034,0.11219754723235002,0.05815769614277606,0.11219754723235002,0.011219754723235002,0.041943405359050036,0.041943405359050036,1.0,0.4012263838249917,1.0,0.7967732804981602,0.6778737545455458,0.016639045409347034,0.01113695313862723,,,,0.05824999971082434,0.09131500037256045,52.4453125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,i2i,flatpq,100,6034,0.10954590652966523,0.05715648578034368,0.10954590652966523,0.010954590652966521,0.04139209821592984,0.04139209821592984,0.8460722572091482,0.39177991382167715,0.8682913490222076,0.8058307387489386,0.678148084526395,0.020235333112363276,0.014733240841643472,,,,0.0473000000056345,0.07862500006012849,51.2578125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,i2i,hnsw,100,6034,0.11219754723235002,0.05815769614277606,0.11219754723235002,0.011219754723235002,0.041943405359050036,0.041943405359050036,1.0,0.40039774610540274,0.9895807093138881,0.7967732804981602,0.6778737545455458,0.016639045409347034,0.01113695313862723,0.95,ef,64.0,0.03840000044874614,0.0764349997098179,53.43359375,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
