dataset,weighting,dim,modality,method,budget_mb,queries,recall_at_k_mean,ndcg_at_k_mean,hr_at_k_mean,precision_at_k_mean,map_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,recall_at_100_mean,ann_recall_vs_exact_at_100_mean,coverage_at_k,gini_exposure,long_tail_exposure,long_tail_uplift,calibration_target,calibration_target_reached,calibration_achieved_recall_vs_exact,calibrated_param_name,calibrated_param_value,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,rss_mb_after,query_fingerprint,calibration_fingerprint,embedding_fingerprint,index_fingerprint,omp_threads,seed,run_id,config_hash,code_commit,created_at_utc
amazon-books,bm25,128,i2i,flat,100,10000,0.0354,0.022818422600975465,0.0354,0.0035400000000000006,0.018932499999999998,0.018932499999999998,1.0,0.081,1.0,0.16981537140403608,0.8827567848970874,0.28222,0.21410225318538245,,,,,,12.65254999998433,15.11649499957457,16.016443999906187,12.62871169999653,414.390625,5bcf673ba09a7b9f,bf3dbf5b59f00635,acbdfb6c7a035072,f6dd9dbb02fc76bb,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,i2i,flatpq,100,10000,0.0327,0.021130988422143105,0.0327,0.0032700000000000003,0.017529920634920638,0.017529920634920638,0.65415,0.0778,0.747504,0.1665162969927877,0.8867340351430233,0.2929,0.22478225318538242,,,,,,1.9280500000604661,3.71254499987117,6.7652729998008,2.216757749986755,246.19921875,5bcf673ba09a7b9f,bf3dbf5b59f00635,acbdfb6c7a035072,1741d89b00b38b79,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,i2i,hnsw,100,10000,0.0355,0.022868797891269232,0.0355,0.00355,0.01896888888888889,0.01896888888888889,0.9890399999999999,0.0809,0.9756229999999999,0.16947839839992174,0.8831028554114061,0.28266,0.21454225318538245,0.95,True,0.97637,ef,128.0,0.22075000015320256,0.32928000009633246,0.459228998679464,0.23042804999840882,487.73046875,5bcf673ba09a7b9f,4d609765c1d29660,acbdfb6c7a035072,826d871734172d44,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,i2i,ivfflat,100,10000,0.0347,0.02254633180268156,0.0347,0.0034700000000000004,0.01878888888888889,0.01878888888888889,0.9794299999999999,0.0793,0.9682280000000001,0.169195775880342,0.8834385716149159,0.28207,0.2139522531853824,0.95,True,0.96932,nprobe,16.0,0.34544999925856246,0.5612049997580469,0.7287330007602577,0.36424134996923385,417.54296875,5bcf673ba09a7b9f,69140e25f0e56f1d,acbdfb6c7a035072,3bf4d842dede9c3b,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,i2i,ivfpq,100,10000,0.0345,0.0220771727239022,0.0345,0.00345,0.018253730158730157,0.018253730158730157,0.76231,0.0807,0.834119,0.1699702702849596,0.8827343112978351,0.28133,0.21321225318538245,0.95,False,0.83777,nprobe,256.0,1.3379499996517552,2.4704100008420937,4.341400999255711,1.4939257500182066,268.59765625,5bcf673ba09a7b9f,69140e25f0e56f1d,acbdfb6c7a035072,2f9eb4ad0e952a54,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,u2i,flat,100,10000,0.0329,0.020412507737679768,0.0329,0.0032900000000000004,0.016581349206349204,0.016581349206349204,1.0,0.0982,1.0,0.149838850813355,0.9043753685778108,0.23576,0.16764225318538242,,,,,,12.693950000084442,14.610680000487264,15.144227000109822,12.548065900003621,414.2109375,21133868744f39c1,98b3aeab791657cf,acbdfb6c7a035072,f6dd9dbb02fc76bb,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,u2i,flatpq,100,10000,0.0274,0.015565312579617898,0.0274,0.0027400000000000007,0.012015039682539684,0.012015039682539684,0.39533,0.0898,0.5496800000000001,0.12406585104706208,0.9306335312596812,0.27086,0.20274225318538242,,,,,,2.1316500005923444,4.341404999831866,6.865338000152406,2.552935450004952,246.06640625,21133868744f39c1,98b3aeab791657cf,acbdfb6c7a035072,1741d89b00b38b79,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,u2i,hnsw,100,10000,0.0321,0.02014455234329218,0.0321,0.00321,0.016474603174603173,0.016474603174603173,0.9866,0.0949,0.967867,0.14907250898141758,0.9051258553407504,0.23776,0.16964225318538242,0.95,True,0.96981,ef,128.0,0.2524999999877764,0.35462500072753755,0.47071400073036784,0.2571066499895096,487.76171875,21133868744f39c1,a37c45fd35cc90d1,acbdfb6c7a035072,826d871734172d44,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,u2i,ivfflat,100,10000,0.0326,0.020221628813868603,0.0326,0.0032600000000000003,0.016422698412698413,0.016422698412698413,0.9853200000000001,0.0963,0.977123,0.1494774200912001,0.9047573285106337,0.23611,0.1679922531853824,0.95,True,0.97772,nprobe,64.0,1.1400500006857328,1.5786049985763384,1.8679190004331758,1.1706297999853632,417.75,21133868744f39c1,c11020e10e20f5a2,acbdfb6c7a035072,3bf4d842dede9c3b,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
amazon-books,bm25,128,u2i,ivfpq,100,10000,0.031,0.018557691912580082,0.031,0.0031000000000000003,0.014758055555555557,0.014758055555555557,0.57507,0.0932,0.6942280000000001,0.1444581528444326,0.9106386125408308,0.23318,0.16506225318538242,0.95,False,0.70757,nprobe,256.0,1.4858000004096539,2.0345449999695115,2.670749000772048,1.543763399994532,268.73828125,21133868744f39c1,c11020e10e20f5a2,acbdfb6c7a035072,2f9eb4ad0e952a54,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
