dataset,weighting,modality,method,coverage_at_10,coverage_at_100,gini_exposure_at_10,gini_exposure_at_100,long_tail_exposure_at_10,long_tail_exposure_at_100,long_tail_uplift_at_10,user_popularity_calibration_error_at_10,fairness_scope
amazon-books,bm25,i2i,flat,0.169815371404036,0.6217831306966102,0.8827567848970874,0.7047357601241365,0.28222,0.301852,0.2141022531853824,1.4722955774528812,not_full_fairness_evaluation
amazon-books,bm25,i2i,flatpq,0.1665162969927877,0.5951378056535374,0.8867340351430233,0.7251046894956819,0.2929,0.314721,0.2247822531853824,1.4862672453286956,not_full_fairness_evaluation
amazon-books,bm25,i2i,hnsw,0.1694783983999217,0.611535346837617,0.8831028554114061,0.7100410298221109,0.28266,0.303522,0.2145422531853824,1.475009773596306,not_full_fairness_evaluation
amazon-books,bm25,i2i,ivfflat,0.169195775880342,0.608662923729965,0.8834385716149159,0.711820182161084,0.28207,0.302113,0.2139522531853824,1.4707929465220102,not_full_fairness_evaluation
amazon-books,bm25,i2i,ivfpq,0.1699702702849596,0.6393736650162236,0.8827343112978351,0.6942494525275692,0.28133,0.298786,0.2132122531853824,1.474944061963691,not_full_fairness_evaluation
amazon-books,bm25,u2i,flat,0.149838850813355,0.527683419297683,0.9043753685778108,0.7790345018180237,0.23576,0.264686,0.1676422531853824,1.3428272971883326,not_full_fairness_evaluation
amazon-books,bm25,u2i,flatpq,0.124065851047062,0.4601475072150268,0.9306335312596812,0.8172869930540081,0.27086,0.292217,0.2027422531853824,1.3760419631976075,not_full_fairness_evaluation
amazon-books,bm25,u2i,hnsw,0.1490725089814175,0.5191830035164764,0.9051258553407504,0.7832941024452283,0.23776,0.267127,0.1696422531853824,1.349233591536981,not_full_fairness_evaluation
amazon-books,bm25,u2i,ivfflat,0.1494774200912001,0.5218869401220712,0.9047573285106336,0.7816377412156029,0.23611,0.264808,0.1679922531853824,1.34220389350021,not_full_fairness_evaluation
amazon-books,bm25,u2i,ivfpq,0.1444581528444326,0.5403090368550636,0.9106386125408308,0.7749623986825442,0.23318,0.255246,0.1650622531853824,1.3328956390413034,not_full_fairness_evaluation
goodbooks,bm25,i2i,flat,0.9124,0.9997,0.570770958,0.4145682884,0.09636,0.170324,0.0612522084794406,1.510360446891236,not_full_fairness_evaluation
goodbooks,bm25,i2i,flatpq,0.9093,0.9999,0.570735044,0.4134451146,0.10287,0.17785,0.0677622084794406,1.5403120153703636,not_full_fairness_evaluation
goodbooks,bm25,i2i,hnsw,0.9124,0.9997,0.570772596,0.4162532898,0.09633,0.170815,0.0612222084794406,1.5104105639586445,not_full_fairness_evaluation
goodbooks,bm25,i2i,ivfflat,0.9116,0.9995,0.570868106,0.4166562804,0.09618,0.16992,0.0610722084794406,1.5108774179836493,not_full_fairness_evaluation
goodbooks,bm25,i2i,ivfpq,0.9134,0.9999,0.568900608,0.4116713241999999,0.10111,0.176904,0.0660022084794406,1.5199959270470742,not_full_fairness_evaluation
goodbooks,bm25,u2i,flat,0.6758,0.9823,0.830726524,0.6591336256,0.05765,0.103413,0.0225422084794406,0.8190061737758838,not_full_fairness_evaluation
goodbooks,bm25,u2i,flatpq,0.6009,0.9724,0.8700238020000001,0.692862109,0.08154,0.126569,0.0464322084794406,0.8591571796132599,not_full_fairness_evaluation
goodbooks,bm25,u2i,hnsw,0.6752,0.9795,0.8311247460000001,0.6610713738,0.05748,0.105288,0.0223722084794406,0.8197522034523579,not_full_fairness_evaluation
goodbooks,bm25,u2i,ivfflat,0.677,0.9827,0.830396574,0.6579436336000001,0.058,0.105007,0.0228922084794406,0.8195633470678735,not_full_fairness_evaluation
goodbooks,bm25,u2i,ivfpq,0.6327,0.9768,0.849267088,0.6915456994,0.08874,0.136321,0.0536322084794406,0.8121068427301837,not_full_fairness_evaluation
ml-1m,bm25,i2i,flat,0.7967732804981602,0.9949051797339372,0.6778737545455458,0.5276165939945366,0.016639045409347,0.0383609545906529,0.0111369531386272,0.9121452064835356,not_full_fairness_evaluation
ml-1m,bm25,i2i,flatpq,0.8058307387489386,0.9963204075856212,0.678148084526395,0.5248345421796535,0.0202353331123632,0.0469141531322505,0.0147332408416434,0.9204804799261136,not_full_fairness_evaluation
ml-1m,bm25,i2i,hnsw,0.7967732804981602,0.9946221341636003,0.6778737545455458,0.5272319193970276,0.016639045409347,0.0384819356977129,0.0111369531386272,0.9121452064835356,not_full_fairness_evaluation
ml-1m,bm25,i2i,ivfflat,0.7964902349278233,0.9943390885932636,0.6784629903140624,0.5318401846091321,0.016639045409347,0.0383261518064302,0.0111369531386272,0.91303975719234,not_full_fairness_evaluation
ml-1m,bm25,i2i,ivfpq,0.8086611944523068,0.9980186810076422,0.671458198803816,0.5138596054568034,0.0190420947961551,0.0470169042094796,0.0135400025254353,0.9194209055275804,not_full_fairness_evaluation
ml-1m,bm25,u2i,flat,0.4073025757146901,0.8024341919048967,0.9463882418911008,0.8639207843917959,0.0006629101756711,0.0018246602585349,-0.0048391820950486,0.6242765075899376,not_full_fairness_evaluation
