n_items,dim,method,build_wall_time_sec,index_size_mb,rss_mb_after,latency_p50_ms,latency_p95_ms,achieved_recall_vs_exact,quality_measured
10000,128,flat,0.25,4.92,93.7,0.152850000631588,0.2964199999041739,1.0,False
10000,128,hnsw,0.954,6.9,95.4,0.0242999994952697,0.0432349989750946,0.9843,False
10000,128,ivfflat,0.315,5.05,95.1,0.0120000004244502,0.0175049986864905,0.9735,False
10000,128,ivfpq,18.197,0.66,92.8,0.0759000004109111,0.1953000009962124,0.8947,False
50000,128,flat,0.294,24.61,153.8,1.9819500002995485,3.501970000797883,1.0,False
50000,128,hnsw,7.537,34.54,163.8,0.1199500002257991,0.2162050001061288,0.9919,False
50000,128,ivfflat,0.576,25.1,155.4,0.0840499997138977,0.1552949995129893,0.97434,False
50000,128,ivfpq,28.805,2.4,139.4,0.1046999996106023,0.2417199996671115,0.73892,False
100000,128,flat,0.313,49.21,227.5,3.590299999814306,5.313659999228548,1.0,False
100000,128,hnsw,26.086,69.07,247.4,0.1584000001457752,0.3744199992979703,0.97862,False
100000,128,ivfflat,0.854,50.13,229.7,0.1298000006499933,0.2922250013398298,0.99968,False
100000,128,ivfpq,39.485,4.54,193.4,0.1698500000202329,0.3819800012024643,0.69718,False
500000,128,flat,0.705,246.05,813.1,15.27064999936556,19.27531500086843,1.0,False
500000,128,hnsw,319.418,345.32,912.8,0.462550000520423,0.8124700002554165,0.96166,False
500000,128,ivfflat,4.309,250.21,818.6,0.4126499998164945,0.5714000001717068,0.99998,False
500000,128,ivfpq,72.476,21.52,612.0,0.1619999993636156,0.2058449991636735,0.61598,False
1000000,128,flat,1.096,492.1,1545.6,25.305199999820616,26.929654999185008,1.0,False
1000000,128,hnsw,1041.272,690.62,1743.4,1.6710000008970385,2.2653349994470773,0.97034,False
1000000,128,ivfflat,13.745,500.22,1554.9,0.6701499987684656,1.0373349987276017,0.99734,False
1000000,128,ivfpq,163.764,42.65,1130.7,0.6302500005403999,1.237350000701554,0.58714,False
