dataset,weighting,dim,modality,method,metric,mean,ci_low,ci_high,n,n_boot,seed,evaluation_seed
amazon-books,bm25,128,i2i,flat,hr,0.0354,0.0321,0.0392,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,hr,0.0327,0.0294,0.0361,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,hr,0.0355,0.0322,0.0392,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,hr,0.0347,0.0314,0.0383,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,hr,0.0345,0.0312,0.0381,10000,2000,42,42
amazon-books,bm25,128,i2i,flat,ndcg,0.0228184226009754,0.0204977024751992,0.0252735633902273,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,ndcg,0.0211309884221431,0.0188269079827803,0.0235116227368181,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,ndcg,0.0228687978912692,0.0205311445332591,0.0253200375258894,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,ndcg,0.0225463318026815,0.0202512085053406,0.0249847522172012,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,ndcg,0.0220771727239022,0.019774589904263,0.0245168628655387,10000,2000,42,42
amazon-books,bm25,128,i2i,flat,recall,0.0354,0.0321,0.0392,10000,2000,42,42
amazon-books,bm25,128,i2i,flatpq,recall,0.0327,0.0294,0.0361,10000,2000,42,42
amazon-books,bm25,128,i2i,hnsw,recall,0.0355,0.0322,0.0392,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfflat,recall,0.0347,0.0314,0.0383,10000,2000,42,42
amazon-books,bm25,128,i2i,ivfpq,recall,0.0345,0.0312,0.0381,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,hr,0.0329,0.0295,0.0363,10000,2000,42,42
amazon-books,bm25,128,u2i,flatpq,hr,0.0274,0.0242,0.0306,10000,2000,42,42
amazon-books,bm25,128,u2i,hnsw,hr,0.0321,0.0287,0.0354,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,hr,0.0326,0.0292,0.036,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,hr,0.031,0.0276,0.0343,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,ndcg,0.0204125077376797,0.0180729770114362,0.0227172227450339,10000,2000,42,42
amazon-books,bm25,128,u2i,flatpq,ndcg,0.0155653125796178,0.0135533691772245,0.0176051160767074,10000,2000,42,42
amazon-books,bm25,128,u2i,hnsw,ndcg,0.0201445523432921,0.0178209413579062,0.0225208683574641,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,ndcg,0.0202216288138686,0.0178970683186638,0.0225640574325938,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,ndcg,0.01855769191258,0.0163552049998157,0.0207646072772448,10000,2000,42,42
amazon-books,bm25,128,u2i,flat,recall,0.0329,0.0295,0.0363,10000,2000,42,42
amazon-books,bm25,128,u2i,flatpq,recall,0.0274,0.0242,0.0306,10000,2000,42,42
amazon-books,bm25,128,u2i,hnsw,recall,0.0321,0.0287,0.0354,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfflat,recall,0.0326,0.0292,0.036,10000,2000,42,42
amazon-books,bm25,128,u2i,ivfpq,recall,0.031,0.0276,0.0343,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,hr,0.1553,0.1483975,0.1625,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,hr,0.1534,0.1464975,0.1605025,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,hr,0.1553,0.1483975,0.1625,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,hr,0.1551,0.1481975,0.1622,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,hr,0.1533,0.1464,0.1604,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,ndcg,0.1073788021399514,0.1020736399200824,0.1127957764406753,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,ndcg,0.1029540395701028,0.097727104103906,0.1080841461799274,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,ndcg,0.1073657091645943,0.102066045503,0.1127820288165503,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,ndcg,0.1072346632166384,0.1019709873121473,0.1125506657694633,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,ndcg,0.1041544518408293,0.0989236203699454,0.1092892606791084,10000,2000,42,42
goodbooks,bm25,128,i2i,flat,recall,0.1553,0.1483975,0.1625,10000,2000,42,42
goodbooks,bm25,128,i2i,flatpq,recall,0.1534,0.1464975,0.1605025,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,recall,0.1553,0.1483975,0.1625,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,recall,0.1551,0.1481975,0.1622,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,recall,0.1533,0.1464,0.1604,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,hr,0.0295,0.0263,0.0329,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,hr,0.0255,0.0226,0.0287,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,hr,0.0294,0.0263,0.0328,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,hr,0.0295,0.0263,0.0329,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,hr,0.0264,0.0234,0.0295,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,ndcg,0.0141643368248471,0.0124673084969278,0.0160087349058961,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,ndcg,0.0125983005856282,0.0110165352581091,0.0142936183214955,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,ndcg,0.0140986038444432,0.0124239153011731,0.0159270646179899,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,ndcg,0.0141675294590354,0.0124934931610212,0.0160010166162154,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,ndcg,0.0127484908510818,0.011199442798461,0.0144081509512934,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,recall,0.0295,0.0263,0.0329,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,recall,0.0255,0.0226,0.0287,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,recall,0.0294,0.0263,0.0328,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,recall,0.0295,0.0263,0.0329,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,recall,0.0264,0.0234,0.0295,10000,2000,42,42
ml-1m,bm25,128,i2i,flat,hr,0.11219754723235,0.1040768975803778,0.1203181968843221,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,hr,0.1095459065296652,0.1015909844216108,0.1176665561816373,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,hr,0.11219754723235,0.1040768975803778,0.1203181968843221,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,hr,0.1115346370566788,0.1035797149486244,0.1194937023533311,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,hr,0.1103745442492542,0.1024196221411998,0.1183294663573085,6034,2000,42,42
ml-1m,bm25,128,i2i,flat,ndcg,0.058157696142776,0.0535513246310885,0.0627286555716505,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,ndcg,0.0571564857803436,0.0526385895926298,0.0619390078043024,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,ndcg,0.058157696142776,0.0535513246310885,0.0627286555716505,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,ndcg,0.0578082614209449,0.0532408442692075,0.0623761459358832,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,ndcg,0.0572254369903561,0.0526797686672281,0.061808721062164,6034,2000,42,42
ml-1m,bm25,128,i2i,flat,recall,0.11219754723235,0.1040768975803778,0.1203181968843221,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,recall,0.1095459065296652,0.1015909844216108,0.1176665561816373,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,recall,0.11219754723235,0.1040768975803778,0.1203181968843221,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,recall,0.1115346370566788,0.1035797149486244,0.1194937023533311,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,recall,0.1103745442492542,0.1024196221411998,0.1183294663573085,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,hr,0.0951276102088167,0.0881670533642691,0.1027510772290354,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,hr,0.0896586012595293,0.0828637719588995,0.0967848856479947,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,hr,0.0951276102088167,0.0881670533642691,0.1027510772290354,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,hr,0.0951276102088167,0.0881670533642691,0.1027510772290354,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,hr,0.0952933377527345,0.0881670533642691,0.1029168047729532,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,ndcg,0.0487619590968895,0.0446554814438408,0.0531769254364903,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,ndcg,0.0437124589510732,0.039929230663947,0.0477219494758943,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,ndcg,0.0487619590968895,0.0446554814438408,0.0531769254364903,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,ndcg,0.0487619590968895,0.0446554814438408,0.0531769254364903,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,ndcg,0.0478332719189893,0.043900596550223,0.0520686502780299,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,recall,0.0951276102088167,0.0881670533642691,0.1027510772290354,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,recall,0.0896586012595293,0.0828637719588995,0.0967848856479947,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,recall,0.0951276102088167,0.0881670533642691,0.1027510772290354,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,recall,0.0951276102088167,0.0881670533642691,0.1027510772290354,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,recall,0.0952933377527345,0.0881670533642691,0.1029168047729532,6034,2000,42,42
ml-20m,bm25,128,i2i,flat,hr,0.0885,0.0832,0.0943,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,hr,0.089,0.0834975,0.0949,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,hr,0.0885,0.0832,0.0943,10000,2000,42,42
ml-20m,bm25,128,i2i,ivfflat,hr,0.088,0.0825,0.0938,10000,2000,42,42
ml-20m,bm25,128,i2i,ivfpq,hr,0.0896,0.0841975,0.0955024999999999,10000,2000,42,42
ml-20m,bm25,128,i2i,flat,ndcg,0.0492721171190493,0.0459554690597868,0.0528155932214952,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,ndcg,0.0488859086280897,0.0455385606526498,0.0524490178968061,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,ndcg,0.0492721171190493,0.0459554690597868,0.0528155932214952,10000,2000,42,42
ml-20m,bm25,128,i2i,ivfflat,ndcg,0.0489294372964022,0.0455750539068453,0.0525051491691743,10000,2000,42,42
ml-20m,bm25,128,i2i,ivfpq,ndcg,0.049547589290731,0.0461750982814166,0.0531274398504133,10000,2000,42,42
ml-20m,bm25,128,i2i,flat,recall,0.0885,0.0832,0.0943,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,recall,0.089,0.0834975,0.0949,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,recall,0.0885,0.0832,0.0943,10000,2000,42,42
ml-20m,bm25,128,i2i,ivfflat,recall,0.088,0.0825,0.0938,10000,2000,42,42
ml-20m,bm25,128,i2i,ivfpq,recall,0.0896,0.0841975,0.0955024999999999,10000,2000,42,42
ml-20m,bm25,128,u2i,flat,hr,0.0832,0.0778,0.0889,10000,2000,42,42
ml-20m,bm25,128,u2i,flatpq,hr,0.0821,0.0767,0.0874,10000,2000,42,42
ml-20m,bm25,128,u2i,hnsw,hr,0.0832,0.0778,0.0889,10000,2000,42,42
ml-20m,bm25,128,u2i,ivfflat,hr,0.0829,0.0775,0.0885,10000,2000,42,42
ml-20m,bm25,128,u2i,ivfpq,hr,0.0837,0.0783,0.0891,10000,2000,42,42
ml-20m,bm25,128,u2i,flat,ndcg,0.0403776968101104,0.0376016947219416,0.0433549109197186,10000,2000,42,42
ml-20m,bm25,128,u2i,flatpq,ndcg,0.0404969185615935,0.0376571586589165,0.0434444210257482,10000,2000,42,42
ml-20m,bm25,128,u2i,hnsw,ndcg,0.0403776968101104,0.0376016947219416,0.0433549109197186,10000,2000,42,42
ml-20m,bm25,128,u2i,ivfflat,ndcg,0.0403164556518018,0.0375766851019518,0.0433001275281263,10000,2000,42,42
ml-20m,bm25,128,u2i,ivfpq,ndcg,0.041302737980245,0.0384511600261612,0.0441943127037499,10000,2000,42,42
ml-20m,bm25,128,u2i,flat,recall,0.0832,0.0778,0.0889,10000,2000,42,42
