dataset,weighting,dim,modality,method,target_recall,target_reached,param_name,calibrated_param_value,achieved_recall_vs_exact,latency_p50_ms,latency_p95_ms
amazon-books,bm25,128,i2i,hnsw,0.9,True,ef,64,0.94084,0.1529999999547726,0.2423099997940879
amazon-books,bm25,128,i2i,hnsw,0.95,True,ef,128,0.97637,0.2304999998159473,0.344595000206027
amazon-books,bm25,128,i2i,hnsw,0.98,True,ef,256,0.98821,0.4045500008942326,0.6141449986898805
amazon-books,bm25,128,i2i,ivfflat,0.9,True,nprobe,8,0.93439,0.1958499997272156,0.3315650003969493
amazon-books,bm25,128,i2i,ivfflat,0.95,True,nprobe,16,0.96932,0.3408999991734163,0.5188150005778879
amazon-books,bm25,128,i2i,ivfflat,0.98,True,nprobe,32,0.98616,0.6024000003890251,0.8783299997048741
amazon-books,bm25,128,i2i,ivfpq,0.9,False,nprobe,256,0.83777,1.5065999996295432,3.790550000212531
amazon-books,bm25,128,i2i,ivfpq,0.95,False,nprobe,256,0.83777,1.609150000149384,4.339535001145123
amazon-books,bm25,128,i2i,ivfpq,0.98,False,nprobe,256,0.83777,1.746449998790922,4.239514999608218
amazon-books,bm25,128,u2i,hnsw,0.9,True,ef,64,0.92089,0.1691999996182858,0.3758850015401546
amazon-books,bm25,128,u2i,hnsw,0.95,True,ef,128,0.96981,0.3751500007638242,0.7541350006249558
amazon-books,bm25,128,u2i,hnsw,0.98,True,ef,256,0.98767,0.6788499986214447,1.341074999254488
amazon-books,bm25,128,u2i,ivfflat,0.9,True,nprobe,32,0.94906,0.5873999998584623,0.8915500011426044
amazon-books,bm25,128,u2i,ivfflat,0.95,True,nprobe,64,0.97772,1.0949000006803544,1.4685050001389752
amazon-books,bm25,128,u2i,ivfflat,0.98,True,nprobe,128,0.99399,2.097449999382661,2.5319200000012643
amazon-books,bm25,128,u2i,ivfpq,0.9,False,nprobe,256,0.70757,1.2873999994553742,1.5365299999757551
amazon-books,bm25,128,u2i,ivfpq,0.95,False,nprobe,256,0.70757,1.2802999999621534,1.5144199990572815
amazon-books,bm25,128,u2i,ivfpq,0.98,False,nprobe,256,0.70757,1.3639500002682323,1.8306650003978573
goodbooks,bm25,128,i2i,hnsw,0.9,True,ef,64,0.97892,0.0436000000263447,0.1300450005146557
goodbooks,bm25,128,i2i,hnsw,0.95,True,ef,64,0.97892,0.0368999999409425,0.0611150004715454
goodbooks,bm25,128,i2i,hnsw,0.98,True,ef,128,0.9994,0.0615500002822955,0.0897150000128021
goodbooks,bm25,128,i2i,ivfflat,0.9,True,nprobe,8,0.93648,0.0251999999818508,0.0332999998136074
goodbooks,bm25,128,i2i,ivfflat,0.95,True,nprobe,16,0.97145,0.0311999997393286,0.0907799994365631
goodbooks,bm25,128,i2i,ivfflat,0.98,True,nprobe,32,0.9898,0.0997500001176376,0.1681200004895798
goodbooks,bm25,128,i2i,ivfpq,0.9,True,nprobe,8,0.90349,0.0668000002406188,0.1933150002969341
goodbooks,bm25,128,i2i,ivfpq,0.95,False,nprobe,128,0.93477,0.2110499995069403,0.6541699993704241
goodbooks,bm25,128,i2i,ivfpq,0.98,False,nprobe,128,0.93477,0.1928500000758504,0.614090000317446
goodbooks,bm25,128,u2i,hnsw,0.9,True,ef,64,0.97346,0.0387999998565646,0.1244400003997725
