dataset,weighting,dim,modality,method,ndcg_at_k_mean,recall_at_k_mean,hr_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,latency_p50_ms,latency_p95_ms
amazon-books,bm25,128,i2i,flat,0.0228184226009754,0.0354,0.0354,0.0189324999999999,1.0,12.65254999998433,15.11649499957457
amazon-books,bm25,128,i2i,flatpq,0.0211309884221431,0.0327,0.0327,0.0175299206349206,0.65415,1.928050000060466,3.71254499987117
amazon-books,bm25,128,i2i,hnsw,0.0228687978912692,0.0355,0.0355,0.0189688888888888,0.98904,0.2207500001532025,0.3292800000963324
amazon-books,bm25,128,i2i,ivfflat,0.0225463318026815,0.0347,0.0347,0.0187888888888888,0.97943,0.3454499992585624,0.5612049997580469
amazon-books,bm25,128,i2i,ivfpq,0.0220771727239022,0.0345,0.0345,0.0182537301587301,0.76231,1.3379499996517552,2.4704100008420937
amazon-books,bm25,128,u2i,flat,0.0204125077376797,0.0329,0.0329,0.0165813492063492,1.0,12.693950000084442,14.610680000487264
amazon-books,bm25,128,u2i,flatpq,0.0155653125796178,0.0274,0.0274,0.0120150396825396,0.39533,2.1316500005923444,4.341404999831866
amazon-books,bm25,128,u2i,hnsw,0.0201445523432921,0.0321,0.0321,0.0164746031746031,0.9866,0.2524999999877764,0.3546250007275375
amazon-books,bm25,128,u2i,ivfflat,0.0202216288138686,0.0326,0.0326,0.0164226984126984,0.98532,1.1400500006857328,1.5786049985763384
amazon-books,bm25,128,u2i,ivfpq,0.01855769191258,0.031,0.031,0.0147580555555555,0.57507,1.485800000409654,2.0345449999695115
goodbooks,bm25,128,i2i,flat,0.1073788021399514,0.1553,0.1553,0.0923384523809524,1.0,0.143700000080571,0.2018250005676235
goodbooks,bm25,128,i2i,flatpq,0.1029540395701028,0.1534,0.1534,0.0871373015873016,0.8706400000000002,0.0783499999670311,0.133225000126913
