dataset,weighting,modality,method,metric,mean_diff,ci_low,ci_high,p_value,n_boot,significant_at_0.05,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude
amazon-books,bm25,i2i,flatpq,hr,-0.0027,-0.0044,-0.0011,0.001,2000,True,-0.030389879314106,negligible,-0.0026744999999999,negligible
amazon-books,bm25,i2i,flatpq,ndcg,-0.0016874341788323,-0.0027346192143526,-0.0007477239356211,0.0,2000,True,-0.0328059441391491,negligible,-0.0026904999999999,negligible
amazon-books,bm25,i2i,flatpq,recall,-0.0027,-0.0044,-0.0011,0.001,2000,True,-0.030389879314106,negligible,-0.0026744999999999,negligible
amazon-books,bm25,i2i,hnsw,hr,0.0001,0.0,0.0003,0.76,2000,False,0.01,negligible,0.0002059999999999,negligible
amazon-books,bm25,i2i,hnsw,ndcg,5.037529029376999e-05,0.0,0.0001282135751071,0.097,2000,False,0.0143139816326612,negligible,0.0001875,negligible
amazon-books,bm25,i2i,hnsw,recall,0.0001,0.0,0.0003,0.76,2000,False,0.01,negligible,0.0002059999999999,negligible
amazon-books,bm25,i2i,ivfflat,hr,-0.0007,-0.0013,-0.0002,0.004,2000,True,-0.0264654547326499,negligible,-0.000579,negligible
amazon-books,bm25,i2i,ivfflat,ndcg,-0.0002720907982939,-0.0005322850782208,-6.128230132277045e-05,0.007,2000,True,-0.0231202592067856,negligible,-0.0005869999999999,negligible
amazon-books,bm25,i2i,ivfflat,recall,-0.0007,-0.0013,-0.0002,0.004,2000,True,-0.0264654547326499,negligible,-0.000579,negligible
amazon-books,bm25,i2i,ivfpq,hr,-0.0009,-0.0023,0.0005,0.256,2000,False,-0.0119210422106369,negligible,-0.0008599999999999,negligible
amazon-books,bm25,i2i,ivfpq,ndcg,-0.0007412498770732,-0.0015165478852392,3.4069125208530733e-05,0.061,2000,False,-0.0181844696450544,negligible,-0.0008874999999999,negligible
amazon-books,bm25,i2i,ivfpq,recall,-0.0009,-0.0023,0.0005,0.256,2000,False,-0.0119210422106369,negligible,-0.0008599999999999,negligible
