dataset,weighting,modality,method,coverage_at_10,coverage_at_100,gini_exposure_at_10,gini_exposure_at_100,long_tail_exposure_at_10,long_tail_exposure_at_100,long_tail_uplift_at_10,user_popularity_calibration_error_at_10,fairness_scope
goodbooks,bm25,i2i,flat,0.9161,0.9999,0.571593622,0.419174454,0.09524,0.169869,0.0601306177457097,1.5137541410153936,not_full_fairness_evaluation
goodbooks,bm25,i2i,flatpq,0.9144,0.9999,0.572219842,0.4192215236,0.1028,0.177897,0.0676906177457097,1.5372957588672111,not_full_fairness_evaluation
goodbooks,bm25,i2i,hnsw,0.9161,0.9998,0.571593622,0.4209788042,0.09524,0.170795,0.0601306177457097,1.5137541410153936,not_full_fairness_evaluation
goodbooks,bm25,i2i,ivfflat,0.9158,0.9996,0.571486544,0.4205166292,0.09546,0.170157,0.0603506177457097,1.514735732664095,not_full_fairness_evaluation
goodbooks,bm25,i2i,ivfpq,0.9141,0.9998,0.571748666,0.4159729448,0.10111,0.17712,0.0660006177457097,1.527487485225088,not_full_fairness_evaluation
goodbooks,bm25,u2i,flat,0.6767,0.9803,0.831127806,0.6623502888,0.05748,0.102339,0.0223706177457097,0.8220411730529593,not_full_fairness_evaluation
goodbooks,bm25,u2i,flatpq,0.5743,0.9712,0.881761522,0.7102607902,0.07085,0.119845,0.0357406177457097,0.8353021957389075,not_full_fairness_evaluation
goodbooks,bm25,u2i,hnsw,0.6775,0.977,0.831348602,0.6645721474,0.05723,0.104056,0.0221206177457097,0.8229082903784265,not_full_fairness_evaluation
goodbooks,bm25,u2i,ivfflat,0.6881,0.9807,0.8229058939999999,0.6444488666,0.05919,0.114524,0.0240806177457097,0.7997302059988302,not_full_fairness_evaluation
goodbooks,bm25,u2i,ivfpq,0.6353,0.9759,0.849255468,0.691923099,0.08612,0.130172,0.0510106177457097,0.8180960058330827,not_full_fairness_evaluation
ml-1m,bm25,i2i,flat,0.7970563260684971,0.9949051797339372,0.6776327094343819,0.527466958754817,0.0167135994699354,0.0384164320026503,0.0112115651928942,0.9119637245461903,not_full_fairness_evaluation
ml-1m,bm25,i2i,flatpq,0.8063968298896123,0.9940560430229268,0.6789588273952291,0.5219758784410936,0.0197945999668709,0.0469769753188669,0.0142925656898298,0.9184698148998368,not_full_fairness_evaluation
ml-1m,bm25,i2i,hnsw,0.7970563260684971,0.9946221341636003,0.6776327094343819,0.5270838265454361,0.0167135994699354,0.0386880901109822,0.0112115651928942,0.9119637245461903,not_full_fairness_evaluation
ml-1m,bm25,i2i,ivfflat,0.7967732804981602,0.9937729974525898,0.6779699542227592,0.5297670554179034,0.0166473413947324,0.0381812158356799,0.0111453071176913,0.9111580295313584,not_full_fairness_evaluation
ml-1m,bm25,i2i,ivfpq,0.8154542881403906,0.998584772148316,0.6710220176821667,0.5122236677951763,0.0205731323505052,0.0476859367235381,0.015071098073464,0.9215943541592446,not_full_fairness_evaluation
