dataset,weighting,modality,method,metric,mean,ci_low,ci_high,n,n_boot
goodbooks,bm25,i2i,flat,hr,0.1578,0.1509,0.1649024999999999,10000,1000
goodbooks,bm25,i2i,flatpq,hr,0.1557,0.1487975,0.1626024999999999,10000,1000
goodbooks,bm25,i2i,hnsw,hr,0.1578,0.1509,0.1649024999999999,10000,1000
goodbooks,bm25,i2i,ivfflat,hr,0.1568,0.1499975,0.163805,10000,1000
goodbooks,bm25,i2i,ivfpq,hr,0.1557,0.1488975,0.163,10000,1000
goodbooks,bm25,i2i,flat,ndcg,0.1082495501589308,0.1026711597323346,0.1136952954481528,10000,1000
goodbooks,bm25,i2i,flatpq,ndcg,0.1045116267956679,0.0990431584035865,0.1098026462009968,10000,1000
goodbooks,bm25,i2i,hnsw,ndcg,0.1082495501589308,0.1026711597323346,0.1136952954481528,10000,1000
goodbooks,bm25,i2i,ivfflat,ndcg,0.1078298090733329,0.1022557710882605,0.113050721503204,10000,1000
goodbooks,bm25,i2i,ivfpq,ndcg,0.1048849263544908,0.0995563130639535,0.1101314771995929,10000,1000
goodbooks,bm25,i2i,flat,recall,0.1578,0.1509,0.1649024999999999,10000,1000
goodbooks,bm25,i2i,flatpq,recall,0.1557,0.1487975,0.1626024999999999,10000,1000
goodbooks,bm25,i2i,hnsw,recall,0.1578,0.1509,0.1649024999999999,10000,1000
goodbooks,bm25,i2i,ivfflat,recall,0.1568,0.1499975,0.163805,10000,1000
goodbooks,bm25,i2i,ivfpq,recall,0.1557,0.1488975,0.163,10000,1000
goodbooks,bm25,u2i,flat,hr,0.0317,0.0281,0.0351,10000,1000
goodbooks,bm25,u2i,flatpq,hr,0.0289,0.0254,0.0322024999999999,10000,1000
goodbooks,bm25,u2i,hnsw,hr,0.0315,0.0279,0.0349024999999999,10000,1000
goodbooks,bm25,u2i,ivfflat,hr,0.0305,0.0272,0.0337024999999999,10000,1000
goodbooks,bm25,u2i,ivfpq,hr,0.0293,0.0261,0.0326024999999999,10000,1000
goodbooks,bm25,u2i,flat,ndcg,0.0153140919539721,0.0135594903263131,0.0172171737613817,10000,1000
goodbooks,bm25,u2i,flatpq,ndcg,0.01410556427499,0.0122937619916719,0.0158702710751116,10000,1000
goodbooks,bm25,u2i,hnsw,ndcg,0.0152307586206387,0.0134830805871229,0.0170906878717644,10000,1000
goodbooks,bm25,u2i,ivfflat,ndcg,0.0146630493106087,0.0130296567452447,0.0164506763267701,10000,1000
goodbooks,bm25,u2i,ivfpq,ndcg,0.0146106668558909,0.0129055707176524,0.016485664638614,10000,1000
goodbooks,bm25,u2i,flat,recall,0.0317,0.0281,0.0351,10000,1000
goodbooks,bm25,u2i,flatpq,recall,0.0289,0.0254,0.0322024999999999,10000,1000
goodbooks,bm25,u2i,hnsw,recall,0.0315,0.0279,0.0349024999999999,10000,1000
goodbooks,bm25,u2i,ivfflat,recall,0.0305,0.0272,0.0337024999999999,10000,1000
goodbooks,bm25,u2i,ivfpq,recall,0.0293,0.0261,0.0326024999999999,10000,1000
ml-1m,bm25,i2i,flat,hr,0.1119761470929269,0.1041908232565844,0.1207594831870134,6037,1000
