dataset,weighting,method,target_recall,target_reached,param_name,calibrated_param_value,achieved_recall_vs_exact,latency_p50_ms,latency_p95_ms
goodbooks,bm25,hnsw,0.9,True,ef,64,0.97126,0.0436000000263447,0.054325000519384
goodbooks,bm25,hnsw,0.95,True,ef,64,0.97126,0.0462000002698914,0.0602099999923666
goodbooks,bm25,hnsw,0.98,True,ef,128,0.99952,0.0673499998811166,0.0861149998399923
goodbooks,bm25,ivfflat,0.9,True,nprobe,8,0.95113,0.0221999998757382,0.0289999998130952
goodbooks,bm25,ivfflat,0.95,True,nprobe,8,0.95113,0.0220500000978063,0.028499999689302
goodbooks,bm25,ivfflat,0.98,True,nprobe,32,0.99167,0.0569000003451947,0.065204999918933
goodbooks,bm25,ivfpq,0.9,True,nprobe,8,0.91501,0.0433999994129408,0.048104999723364
goodbooks,bm25,ivfpq,0.95,False,nprobe,128,0.93968,0.2039999999396968,0.2217500001279403
goodbooks,bm25,ivfpq,0.98,False,nprobe,128,0.93968,0.2040999997916515,0.2170099997783836
ml-1m,bm25,hnsw,0.9,True,ef,32,0.91429,0.0368999999409425,0.0482049996207933
ml-1m,bm25,hnsw,0.95,True,ef,64,0.98594,0.0481999995827209,0.0585199998113239
ml-1m,bm25,hnsw,0.98,True,ef,64,0.98594,0.0507999998262675,0.0675300000693823
ml-1m,bm25,ivfflat,0.9,True,nprobe,16,0.94222,0.0248999995164922,0.0315049997425376
ml-1m,bm25,ivfflat,0.95,True,nprobe,32,0.98543,0.0353999994331388,0.0411000000895001
ml-1m,bm25,ivfflat,0.98,True,nprobe,32,0.98543,0.0361000002158107,0.0431049998496746
ml-1m,bm25,ivfpq,0.9,False,nprobe,64,0.88145,0.1062999999703606,0.1255150005817995
ml-1m,bm25,ivfpq,0.95,False,nprobe,64,0.88145,0.1094499998544051,0.1444099999389436
ml-1m,bm25,ivfpq,0.98,False,nprobe,64,0.88145,0.107199999547447,0.1580600001034324
ml-20m,bm25,hnsw,0.9,True,ef,64,0.95772,0.0738999997338396,0.101504999838653
ml-20m,bm25,hnsw,0.95,True,ef,64,0.95772,0.0717000002623535,0.1091950003228702
ml-20m,bm25,hnsw,0.98,True,ef,256,0.98283,0.1897000001918058,0.2518100000997947
ml-20m,bm25,ivfflat,0.9,True,nprobe,8,0.90553,0.0382499997613194,0.0499999996463884
ml-20m,bm25,ivfflat,0.95,True,nprobe,16,0.96572,0.0591499997426581,0.0752199996441049
ml-20m,bm25,ivfflat,0.98,True,nprobe,32,0.99039,0.0966500001595704,0.1128049994804314
ml-20m,bm25,ivfpq,0.9,False,nprobe,256,0.88429,0.3378500000508211,0.3555150003194285
ml-20m,bm25,ivfpq,0.95,False,nprobe,256,0.88429,0.3458999999566003,0.3829999998743004
ml-20m,bm25,ivfpq,0.98,False,nprobe,256,0.88429,0.3407000003790017,0.3548050004155811
