dataset,weighting,modality,method,coverage_at_k,gini_exposure,long_tail_exposure,long_tail_uplift
goodbooks,bm25,i2i,flat,0.9161,0.571593622,0.09524,0.0601306177457097
goodbooks,bm25,i2i,flatpq,0.9144,0.572219842,0.1028,0.0676906177457097
goodbooks,bm25,i2i,hnsw,0.9161,0.571593622,0.09524,0.0601306177457097
goodbooks,bm25,i2i,ivfflat,0.9158,0.571486544,0.09546,0.0603506177457097
goodbooks,bm25,i2i,ivfpq,0.9141,0.571748666,0.10111,0.0660006177457097
goodbooks,bm25,u2i,flat,0.6767,0.831127806,0.05748,0.0223706177457097
goodbooks,bm25,u2i,flatpq,0.5743,0.881761522,0.07085,0.0357406177457097
goodbooks,bm25,u2i,hnsw,0.6775,0.831348602,0.05723,0.0221206177457097
goodbooks,bm25,u2i,ivfflat,0.6881,0.8229058939999999,0.05919,0.0240806177457097
goodbooks,bm25,u2i,ivfpq,0.6353,0.849255468,0.08612,0.0510106177457097
ml-1m,bm25,i2i,flat,0.7970563260684971,0.6776327094343819,0.0167135994699354,0.0112115651928942
ml-1m,bm25,i2i,flatpq,0.8063968298896123,0.6789588273952291,0.0197945999668709,0.0142925656898298
ml-1m,bm25,i2i,hnsw,0.7970563260684971,0.6776327094343819,0.0167135994699354,0.0112115651928942
ml-1m,bm25,i2i,ivfflat,0.7967732804981602,0.6779699542227592,0.0166473413947324,0.0111453071176913
ml-1m,bm25,i2i,ivfpq,0.8154542881403906,0.6710220176821667,0.0205731323505052,0.015071098073464
ml-1m,bm25,u2i,flat,0.4092838947070478,0.9462136806046644,0.0007454033460327,-0.0047566309310083
ml-1m,bm25,u2i,flatpq,0.371921879422587,0.958845427252764,0.001159516316051,-0.0043425179609901
ml-1m,bm25,u2i,hnsw,0.4092838947070478,0.9462235546144562,0.0007454033460327,-0.0047566309310083
ml-1m,bm25,u2i,ivfflat,0.4087178035663741,0.946320381798796,0.0007454033460327,-0.0047566309310083
ml-1m,bm25,u2i,ivfpq,0.4030568921596377,0.94919563156178,0.0009938711280437,-0.0045081631489973
ml-20m,bm25,i2i,flat,0.3492833420730641,0.8863981812620171,0.00289,0.0022946768941484
ml-20m,bm25,i2i,flatpq,0.3499825205383674,0.88761114577871,0.00399,0.0033946768941484
ml-20m,bm25,i2i,hnsw,0.3491085474567383,0.8864598959972033,0.00291,0.0023146768941484
ml-20m,bm25,i2i,ivfflat,0.348409368991435,0.8869432555497291,0.00287,0.0022746768941484
ml-20m,bm25,i2i,ivfpq,0.3514245761230554,0.8871067610557595,0.00378,0.0031846768941484
ml-20m,bm25,u2i,flat,0.2067383324593602,0.9652551695507778,2e-05,-0.0005753231058515
ml-20m,bm25,u2i,flatpq,0.1681087222513546,0.9779685090019228,7e-05,-0.0005253231058515
ml-20m,bm25,u2i,hnsw,0.2067383324593602,0.96524357629785,2e-05,-0.0005753231058515
ml-20m,bm25,u2i,ivfflat,0.2065198391889529,0.9657503548330711,1e-05,-0.0005853231058515
ml-20m,bm25,u2i,ivfpq,0.1861125677329138,0.9733805602167452,9e-05,-0.0005053231058515
