dataset,weighting,modality,method,ndcg_at_k_mean,recall_at_k_mean,hr_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,latency_p50_ms,latency_p95_ms
amazon-books,bm25,i2i,flat,0.0228184226009754,0.0354,0.0354,0.0189324999999999,1.0,10.436299999128096,11.872254999889265
amazon-books,bm25,i2i,flatpq,0.0211309884221431,0.0327,0.0327,0.0175299206349206,0.65415,1.9125499993606356,2.4825649996273564
amazon-books,bm25,i2i,hnsw,0.0228687978912692,0.0355,0.0355,0.0189688888888888,0.98904,0.408350000725477,1.0561699999925622
amazon-books,bm25,i2i,ivfflat,0.0225463318026815,0.0347,0.0347,0.0187888888888888,0.97943,0.3533500002959044,0.5558399993788044
amazon-books,bm25,i2i,ivfpq,0.0212983669439351,0.034,0.034,0.0173706746031746,0.7632,1.284999999370484,1.8745150015092804
amazon-books,bm25,u2i,flat,0.0204125077376797,0.0329,0.0329,0.0165813492063492,1.0,10.436299999128096,11.872254999889265
amazon-books,bm25,u2i,flatpq,0.0155653125796178,0.0274,0.0274,0.0120150396825396,0.39533,1.9125499993606356,2.4825649996273564
amazon-books,bm25,u2i,hnsw,0.0201445523432921,0.0321,0.0321,0.0164746031746031,0.9866,0.408350000725477,1.0561699999925622
amazon-books,bm25,u2i,ivfflat,0.0193491112545528,0.0314,0.0314,0.0156462698412698,0.92149,0.3533500002959044,0.5558399993788044
amazon-books,bm25,u2i,ivfpq,0.0184842111401593,0.0312,0.0312,0.014564246031746,0.57298,1.284999999370484,1.8745150015092804
goodbooks,bm25,i2i,flat,0.1082495501589308,0.1578,0.1578,0.0927905555555555,1.0,0.1453000004403293,0.1678000007814262
goodbooks,bm25,i2i,flatpq,0.1033292506331919,0.1562,0.1562,0.0868488492063492,0.8739900000000002,0.0829000000521773,0.1146050012721389
goodbooks,bm25,i2i,hnsw,0.1082495501589308,0.1578,0.1578,0.0927905555555555,1.0,0.0479000009363517,0.0675050010613631
goodbooks,bm25,i2i,ivfflat,0.107888318688361,0.157,0.157,0.0925590476190476,0.9893300000000002,0.0208000001293839,0.0258000000030733
goodbooks,bm25,i2i,ivfpq,0.1045918615532,0.1574,0.1574,0.0881190873015873,0.90183,0.1967000007425667,0.2635100000588863
goodbooks,bm25,u2i,flat,0.0153140919539721,0.0317,0.0317,0.0104390873015873,1.0,0.1453000004403293,0.1678000007814262
goodbooks,bm25,u2i,flatpq,0.0138111487361189,0.0282,0.0282,0.009500992063492,0.60519,0.0829000000521773,0.1146050012721389
goodbooks,bm25,u2i,hnsw,0.0152596651032705,0.0316,0.0316,0.0104014682539682,0.99714,0.0479000009363517,0.0675050010613631
