dataset,weighting,modality,method,metric,mean_diff,ci_low,ci_high,p_value,significant_at_0.05,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude
goodbooks,bm25,i2i,flatpq,hr,-0.0021,-0.0042,0.0,0.062,False,-0.0187853458663016,negligible,-0.002453,negligible
goodbooks,bm25,i2i,flatpq,ndcg,-0.0037379233632629,-0.0051704006586913,-0.002352102177449,0.0,True,-0.0517497385209146,negligible,-0.0031035,negligible
goodbooks,bm25,i2i,flatpq,recall,-0.0021,-0.0042,0.0,0.062,False,-0.0187853458663016,negligible,-0.002453,negligible
goodbooks,bm25,i2i,hnsw,hr,0.0,0.0,0.0,1.0,False,0.0,negligible,-0.0003034999999999,negligible
goodbooks,bm25,i2i,hnsw,ndcg,0.0,0.0,0.0,1.0,False,0.0,negligible,-0.000225,negligible
goodbooks,bm25,i2i,hnsw,recall,0.0,0.0,0.0,1.0,False,0.0,negligible,-0.0003034999999999,negligible
goodbooks,bm25,i2i,ivfflat,hr,-0.001,-0.0017024999999999,-0.0004,0.001,True,-0.0288781050993385,negligible,-0.0013185,negligible
goodbooks,bm25,i2i,ivfflat,ndcg,-0.0004197410855978,-0.0007723326708843,-0.0001373579324709,0.002,True,-0.0259951056086454,negligible,-0.001146,negligible
goodbooks,bm25,i2i,ivfflat,recall,-0.001,-0.0017024999999999,-0.0004,0.001,True,-0.0288781050993385,negligible,-0.0013185,negligible
goodbooks,bm25,i2i,ivfpq,hr,-0.0021,-0.004,-0.0002975,0.032,True,-0.0220182166743686,negligible,-0.0024444999999999,negligible
goodbooks,bm25,i2i,ivfpq,ndcg,-0.00336462380444,-0.0046358336378975,-0.0020915099490663,0.0,True,-0.051269386138829,negligible,-0.0030044999999999,negligible
goodbooks,bm25,i2i,ivfpq,recall,-0.0021,-0.004,-0.0002975,0.032,True,-0.0220182166743686,negligible,-0.0024444999999999,negligible
goodbooks,bm25,u2i,flatpq,hr,-0.0028,-0.0055025,0.0,0.057,False,-0.0196067088815458,negligible,-0.0028725,negligible
goodbooks,bm25,u2i,flatpq,ndcg,-0.001208527678982,-0.0026230556419959,0.0001654471041601,0.08,False,-0.017364654643566,negligible,-0.002827,negligible
goodbooks,bm25,u2i,flatpq,recall,-0.0028,-0.0055025,0.0,0.057,False,-0.0196067088815458,negligible,-0.0028725,negligible
goodbooks,bm25,u2i,hnsw,hr,-0.0002,-0.0005,0.0,0.276,False,-0.0141428428542779,negligible,-0.000285,negligible
goodbooks,bm25,u2i,hnsw,ndcg,-8.333333333333333e-05,-0.0002333333333333,0.0,0.276,False,-0.0138681450526515,negligible,-0.0002634999999999,negligible
goodbooks,bm25,u2i,hnsw,recall,-0.0002,-0.0005,0.0,0.276,False,-0.0141428428542779,negligible,-0.000285,negligible
goodbooks,bm25,u2i,ivfflat,hr,-0.0012,-0.003,0.0005,0.185,False,-0.0134169446071923,negligible,-0.0013484999999999,negligible
goodbooks,bm25,u2i,ivfflat,ndcg,-0.0006510426433633,-0.0014585082582276,9.197116463550552e-05,0.096,False,-0.0162556931446738,negligible,-0.0013255,negligible
goodbooks,bm25,u2i,ivfflat,recall,-0.0012,-0.003,0.0005,0.185,False,-0.0134169446071923,negligible,-0.0013484999999999,negligible
goodbooks,bm25,u2i,ivfpq,hr,-0.0024,-0.0047,0.0,0.054,False,-0.0194692864498055,negligible,-0.0025975,negligible
goodbooks,bm25,u2i,ivfpq,ndcg,-0.0007034250980811,-0.0018384333053174,0.0004517182349719,0.215,False,-0.0120532812805189,negligible,-0.0025524999999999,negligible
goodbooks,bm25,u2i,ivfpq,recall,-0.0024,-0.0047,0.0,0.054,False,-0.0194692864498055,negligible,-0.0025975,negligible
ml-1m,bm25,i2i,flatpq,hr,-0.0043067748881894,-0.0077853238363425,-0.0006625807520291,0.026,True,-0.0298218498722683,negligible,-0.0043274999999999,negligible
ml-1m,bm25,i2i,flatpq,ndcg,-0.0013988093421388,-0.0030255141870746,0.0001520819422291,0.088,False,-0.0222033040127878,negligible,-0.0039705,negligible
ml-1m,bm25,i2i,flatpq,recall,-0.0043067748881894,-0.0077853238363425,-0.0006625807520291,0.026,True,-0.0298218498722683,negligible,-0.0043274999999999,negligible
ml-1m,bm25,i2i,hnsw,hr,0.0,0.0,0.0,1.0,False,0.0,negligible,2.0499999999992743e-05,negligible
ml-1m,bm25,i2i,hnsw,ndcg,0.0,0.0,0.0,1.0,False,0.0,negligible,6.649999999999712e-05,negligible
ml-1m,bm25,i2i,hnsw,recall,0.0,0.0,0.0,1.0,False,0.0,negligible,2.0499999999992743e-05,negligible
ml-1m,bm25,i2i,ivfflat,hr,0.0,0.0,0.0,1.0,False,0.0,negligible,2.0499999999992743e-05,negligible
ml-1m,bm25,i2i,ivfflat,ndcg,7.467368104731988e-06,0.0,2.001103571692123e-05,0.27,False,0.0171287546298482,negligible,6.899999999999962e-05,negligible
ml-1m,bm25,i2i,ivfflat,recall,0.0,0.0,0.0,1.0,False,0.0,negligible,2.0499999999992743e-05,negligible
ml-1m,bm25,i2i,ivfpq,hr,-0.0014908066920655,-0.004638065264204,0.0016564518800728,0.387,False,-0.0115256150671117,negligible,-0.0013535,negligible
ml-1m,bm25,i2i,ivfpq,ndcg,-0.0005460961095542,-0.0017945968684016,0.0007128625780719,0.404,False,-0.0106257938374655,negligible,-0.001128,negligible
ml-1m,bm25,i2i,ivfpq,recall,-0.0014908066920655,-0.004638065264204,0.0016564518800728,0.387,False,-0.0115256150671117,negligible,-0.0013535,negligible
ml-1m,bm25,u2i,flatpq,hr,-0.0036441941361603,-0.0086135497763789,0.001159516316051,0.152,False,-0.0184329098596277,negligible,-0.0038109999999999,negligible
ml-1m,bm25,u2i,flatpq,ndcg,-0.0025949240488457,-0.0050973192631718,-0.0002632183960705,0.027,True,-0.0269717293140026,negligible,-0.0040265,negligible
ml-1m,bm25,u2i,flatpq,recall,-0.0036441941361603,-0.0086135497763789,0.001159516316051,0.152,False,-0.0184329098596277,negligible,-0.0038109999999999,negligible
ml-1m,bm25,u2i,hnsw,hr,0.0,0.0,0.0,1.0,False,0.0,negligible,-1.6500000000002624e-05,negligible
ml-1m,bm25,u2i,hnsw,ndcg,0.0,0.0,0.0,1.0,False,0.0,negligible,2.4499999999996747e-05,negligible
ml-1m,bm25,u2i,hnsw,recall,0.0,0.0,0.0,1.0,False,0.0,negligible,-1.6500000000002624e-05,negligible
ml-1m,bm25,u2i,ivfflat,hr,0.0,0.0,0.0,1.0,False,0.0,negligible,-1.6500000000002624e-05,negligible
ml-1m,bm25,u2i,ivfflat,ndcg,8.865243316416815e-06,0.0,2.2806786140290884e-05,0.279,False,0.0180138904903298,negligible,2.9500000000001747e-05,negligible
ml-1m,bm25,u2i,ivfflat,recall,0.0,0.0,0.0,1.0,False,0.0,negligible,-1.6500000000002624e-05,negligible
ml-1m,bm25,u2i,ivfpq,hr,-0.0019877422560874,-0.0066258075202915,0.0024846778201093,0.386,False,-0.0110881864826863,negligible,-0.0019105,negligible
ml-1m,bm25,u2i,ivfpq,ndcg,-0.0001334589564129,-0.0024241435409122,0.0022978793828592,0.888,False,-0.001485042992935,negligible,-0.0016975,negligible
ml-1m,bm25,u2i,ivfpq,recall,-0.0019877422560874,-0.0066258075202915,0.0024846778201093,0.386,False,-0.0110881864826863,negligible,-0.0019105,negligible
ml-20m,bm25,i2i,flatpq,hr,-0.0021,-0.0047,0.0005,0.112,False,-0.0160603694717136,negligible,-0.0019689999999999,negligible
ml-20m,bm25,i2i,flatpq,ndcg,-0.0011788776008422,-0.0022835755987677,-6.781926571387231e-05,0.04,True,-0.0201906789878456,negligible,-0.001944,negligible
ml-20m,bm25,i2i,flatpq,recall,-0.0021,-0.0047,0.0005,0.112,False,-0.0160603694717136,negligible,-0.0019689999999999,negligible
ml-20m,bm25,i2i,hnsw,hr,0.0001,0.0,0.0003,0.741,False,0.0099999999999999,negligible,0.000129,negligible
ml-20m,bm25,i2i,hnsw,ndcg,2.890648263178879e-05,0.0,8.671944789536637e-05,0.741,False,0.0099999999999999,negligible,0.0001349999999999,negligible
ml-20m,bm25,i2i,hnsw,recall,0.0001,0.0,0.0003,0.741,False,0.0099999999999999,negligible,0.000129,negligible
ml-20m,bm25,i2i,ivfflat,hr,-0.0001,-0.0005,0.0003,0.833,False,-0.0044719570624056,negligible,-6.2500000000007e-05,negligible
ml-20m,bm25,i2i,ivfflat,ndcg,2.028648191943773e-05,-0.000109931584985,0.0001420435971869,0.738,False,0.003039355567609,negligible,-1.2000000000012e-05,negligible
ml-20m,bm25,i2i,ivfflat,recall,-0.0001,-0.0005,0.0003,0.833,False,-0.0044719570624056,negligible,-6.2500000000007e-05,negligible
ml-20m,bm25,i2i,ivfpq,hr,-0.0003,-0.0025,0.0019,0.829,False,-0.0026412298616476,negligible,-0.000314,negligible
ml-20m,bm25,i2i,ivfpq,ndcg,-0.0006550245571605,-0.001579215107524,0.0002300468645816,0.153,False,-0.014001646924677,negligible,-0.000312,negligible
ml-20m,bm25,i2i,ivfpq,recall,-0.0003,-0.0025,0.0019,0.829,False,-0.0026412298616476,negligible,-0.000314,negligible
ml-20m,bm25,u2i,flatpq,hr,-0.0045,-0.0087,-0.0001,0.045,True,-0.020738327279274,negligible,-0.004307,negligible
ml-20m,bm25,u2i,flatpq,ndcg,-0.0033803247476705,-0.0055961150772211,-0.0010517033993062,0.003,True,-0.0295544369922704,negligible,-0.00451,negligible
ml-20m,bm25,u2i,flatpq,recall,-0.0045,-0.0087,-0.0001,0.045,True,-0.020738327279274,negligible,-0.004307,negligible
ml-20m,bm25,u2i,hnsw,hr,0.0,0.0,0.0,1.0,False,0.0,negligible,4.450000000000287e-05,negligible
ml-20m,bm25,u2i,hnsw,ndcg,-1.786845654760455e-06,-7.14738261904182e-06,0.0,0.711,False,-0.01,negligible,3.799999999999637e-05,negligible
ml-20m,bm25,u2i,hnsw,recall,0.0,0.0,0.0,1.0,False,0.0,negligible,4.450000000000287e-05,negligible
