dataset,weighting,dim,method,seed,metric,decile,value
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_mean,,0.2596282958984375
ml-1m,bm25,128,flatpq,42,norm_distortion_mean,,0.04368195682764053
ml-1m,bm25,128,flatpq,42,pairwise_distance_distortion,,0.04442669078707695
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10,,0.8423000000000002
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_100,,0.86029
ml-1m,bm25,128,flatpq,42,score_variance_flat,,0.03563055768609047
ml-1m,bm25,128,flatpq,42,score_variance_pq,,0.03005417436361313
ml-1m,bm25,128,flatpq,42,score_variance_ratio,,0.8434943575229455
ml-1m,bm25,128,flatpq,42,long_tail_exposure_flat,,0.0959
ml-1m,bm25,128,flatpq,42,long_tail_exposure_pq,,0.1051
ml-1m,bm25,128,flatpq,42,long_tail_exposure_shift,,0.0092
ml-1m,bm25,128,flatpq,42,delta_ndcg_vs_flat,,-0.001996866695492254
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,0.0,0.26770615577697754
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,1.0,0.2807091772556305
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,2.0,0.2698735296726227
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,3.0,0.26212990283966064
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,4.0,0.26132190227508545
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,5.0,0.255522757768631
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,6.0,0.24720034003257751
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,7.0,0.251890629529953
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,8.0,0.24771876633167267
ml-1m,bm25,128,flatpq,42,reconstruction_error_rel_decile,9.0,0.2533480226993561
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,0.0,0.8290697674418608
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,1.0,0.8086021505376346
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,2.0,0.8145833333333333
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,3.0,0.8383838383838383
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,4.0,0.8085106382978725
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,5.0,0.8514563106796117
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,6.0,0.8677966101694916
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,7.0,0.8698113207547171
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,8.0,0.8610000000000001
ml-1m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,9.0,0.8590476190476192
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_mean,,0.21192027628421783
ml-1m,bm25,128,ivfpq,42,norm_distortion_mean,,0.02767077274620533
ml-1m,bm25,128,ivfpq,42,pairwise_distance_distortion,,0.028695033863186836
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10,,0.648
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_100,,0.36125
ml-1m,bm25,128,ivfpq,42,score_variance_flat,,0.03563055768609047
ml-1m,bm25,128,ivfpq,42,score_variance_pq,,inf
ml-1m,bm25,128,ivfpq,42,score_variance_ratio,,inf
ml-1m,bm25,128,ivfpq,42,long_tail_exposure_flat,,0.0959
ml-1m,bm25,128,ivfpq,42,long_tail_exposure_pq,,0.1175
ml-1m,bm25,128,ivfpq,42,long_tail_exposure_shift,,0.021599999999999994
ml-1m,bm25,128,ivfpq,42,delta_ndcg_vs_flat,,-0.00033977753298360114
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,0.0,0.23236966133117676
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,1.0,0.23560063540935516
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,2.0,0.222653329372406
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,3.0,0.2137942910194397
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,4.0,0.20776039361953735
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,5.0,0.20197553932666779
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,6.0,0.1998935043811798
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,7.0,0.20524778962135315
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,8.0,0.20168471336364746
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,9.0,0.20054417848587036
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,0.0,0.5755813953488372
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,1.0,0.5709677419354839
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,2.0,0.5989583333333334
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,3.0,0.6656565656565657
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,4.0,0.6574468085106383
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,5.0,0.6747572815533981
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,6.0,0.714406779661017
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,7.0,0.6801886792452829
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,8.0,0.6399999999999999
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,9.0,0.6695238095238095
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_mean,,0.2619151473045349
ml-20m,bm25,128,flatpq,42,norm_distortion_mean,,0.04443113133311272
ml-20m,bm25,128,flatpq,42,pairwise_distance_distortion,,0.05052671208977699
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10,,0.8144000000000001
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_100,,0.84147
ml-20m,bm25,128,flatpq,42,score_variance_flat,,0.015565293841063976
ml-20m,bm25,128,flatpq,42,score_variance_pq,,0.01266234740614891
ml-20m,bm25,128,flatpq,42,score_variance_ratio,,0.8134987707551923
ml-20m,bm25,128,flatpq,42,long_tail_exposure_flat,,0.1998
ml-20m,bm25,128,flatpq,42,long_tail_exposure_pq,,0.2087
ml-20m,bm25,128,flatpq,42,long_tail_exposure_shift,,0.008899999999999991
ml-20m,bm25,128,flatpq,42,delta_ndcg_vs_flat,,-0.0022796011742564487
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,1.0,0.2220282405614853
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,2.0,0.2734869420528412
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,3.0,0.27926531434059143
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,4.0,0.2706891596317291
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,5.0,0.2648997902870178
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,6.0,0.2568449079990387
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,7.0,0.2545412480831146
